year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise
2011,1,CFX,Actes,Actes opératoires,actes,2636.0,1677.0
2011,2,CFX,Actes,Actes opératoires,actes,2157.0,2396.0
2011,3,CFX,Actes,Actes opératoires,actes,1677.0,3834.0
2011,4,CFX,Actes,Actes opératoires,actes,1438.0,3594.0
2011,5,CFX,Actes,Actes opératoires,actes,1438.0,2157.0
2011,6,CFX,Actes,Actes opératoires,actes,1438.0,719.0
2011,7,CFX,Actes,Actes opératoires,actes,2157.0,1677.0
2011,8,CFX,Actes,Actes opératoires,actes,2636.0,3115.0
2011,9,CFX,Actes,Actes opératoires,actes,1917.0,1198.0
2011,10,CFX,Actes,Actes opératoires,actes,2396.0,1438.0
2011,11,CFX,Actes,Actes opératoires,actes,2396.0,1438.0
2011,12,CFX,Actes,Actes opératoires,actes,1677.0,719.0
2012,1,CFX,Actes,Actes opératoires,actes,2636.0,1677.0
2012,2,CFX,Actes,Actes opératoires,actes,2157.0,2396.0
2012,3,CFX,Actes,Actes opératoires,actes,1677.0,3834.0
2012,4,CFX,Actes,Actes opératoires,actes,1438.0,3594.0
2012,5,CFX,Actes,Actes opératoires,actes,1438.0,2157.0
2012,6,CFX,Actes,Actes opératoires,actes,1438.0,719.0
2012,7,CFX,Actes,Actes opératoires,actes,2157.0,1677.0
2012,8,CFX,Actes,Actes opératoires,actes,2636.0,3115.0
2012,9,CFX,Actes,Actes opératoires,actes,1917.0,1198.0
2012,10,CFX,Actes,Actes opératoires,actes,2396.0,1438.0
2012,11,CFX,Actes,Actes opératoires,actes,2396.0,1438.0
2012,12,CFX,Actes,Actes opératoires,actes,1677.0,719.0
2013,1,CFX,Actes,Actes opératoires,actes,2636.0,1677.0
2013,2,CFX,Actes,Actes opératoires,actes,2157.0,2396.0
2013,3,CFX,Actes,Actes opératoires,actes,1677.0,3834.0
2013,4,CFX,Actes,Actes opératoires,actes,1438.0,3594.0
2013,5,CFX,Actes,Actes opératoires,actes,1438.0,2157.0
2013,6,CFX,Actes,Actes opératoires,actes,1438.0,719.0
2013,7,CFX,Actes,Actes opératoires,actes,2157.0,1677.0
2013,8,CFX,Actes,Actes opératoires,actes,2636.0,3115.0
2013,9,CFX,Actes,Actes opératoires,actes,1917.0,1198.0
2013,10,CFX,Actes,Actes opératoires,actes,2396.0,1438.0
2013,11,CFX,Actes,Actes opératoires,actes,2396.0,1438.0
2013,12,CFX,Actes,Actes opératoires,actes,1677.0,719.0
2014,1,CFX,Actes,Actes opératoires,actes,2636.0,1677.0
2014,2,CFX,Actes,Actes opératoires,actes,2157.0,2396.0
2014,3,CFX,Actes,Actes opératoires,actes,1677.0,3834.0
2014,4,CFX,Actes,Actes opératoires,actes,1438.0,3594.0
2014,5,CFX,Actes,Actes opératoires,actes,1438.0,2157.0
2014,6,CFX,Actes,Actes opératoires,actes,1438.0,719.0
