ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE
2011,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes
2012,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes
2013,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes
2014,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes
2015,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes
2016,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes
2017,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes
2011,Actes,Actes opératoires - ambulatoires,6245.0,6245.0,12490.0,actes
2012,Actes,Actes opératoires - ambulatoires,6245.0,6245.0,12490.0,actes
2013,Actes,Actes opératoires - ambulatoires,6245.0,6245.0,12490.0,actes
2014,Actes,Actes opératoires - ambulatoires,6245.0,6245.0,12490.0,actes
2015,Actes,Actes opératoires - ambulatoires,6245.0,6245.0,12490.0,actes
2016,Actes,Actes opératoires - ambulatoires,6245.0,6245.0,12490.0,actes
2017,Actes,Actes opératoires - ambulatoires,6245.0,6245.0,12490.0,actes
2011,Activités en actes,Chirurgie,44931.0,141.0,45072.0,actes
2012,Activités en actes,Chirurgie,45463.0,117.0,45580.0,actes
2013,Activités en actes,Chirurgie,45463.0,117.0,45580.0,actes
2011,Activités en actes,Laboratoires,6228317.0,237943.0,6466260.0,actes
2012,Activités en actes,Laboratoires,6255833.0,130657.0,6386490.0,actes
2013,Activités en actes,Laboratoires,6255833.0,130657.0,6386490.0,actes
2011,Activités en actes,Soins dentaires,383041.0,22357.0,405398.0,actes
2012,Activités en actes,Soins dentaires,377686.0,31681.0,409367.0,actes
2013,Activités en actes,Soins dentaires,377686.0,31681.0,409367.0,actes
2011,Activités en séances,Chimiothérapie,19640.0,392.0,20032.0,actes
2012,Activités en séances,Chimiothérapie,16714.0,482.0,17196.0,actes
2013,Activités en séances,Chimiothérapie,16714.0,482.0,17196.0,actes
2011,Activités en séances,Dialyses,7862.0,0.0,7862.0,actes
2012,Activités en séances,Dialyses,7038.0,0.0,7038.0,actes
2013,Activités en séances,Dialyses,7038.0,0.0,7038.0,actes
2011,Activités en séances,Radiothérapie,17026.0,0.0,17026.0,actes
2012,Activités en séances,Radiothérapie,16136.0,0.0,16136.0,actes
2013,Activités en séances,Radiothérapie,16136.0,0.0,16136.0,actes
2011,Causes d'hospitalisation,Accouchements,1139.5,1139.5,2279.0,accouchements
2012,Causes d'hospitalisation,Accouchements,1139.5,1139.5,2279.0,accouchements
2013,Causes d'hospitalisation,Accouchements,1139.5,1139.5,2279.0,accouchements
2014,Causes d'hospitalisation,Accouchements,1139.5,1139.5,2279.0,accouchements
2015,Causes d'hospitalisation,Accouchements,1139.5,1139.5,2279.0,accouchements
2016,Causes d'hospitalisation,Accouchements,1093.0,1093.0,2186.0,accouchements
2017,Causes d'hospitalisation,Accouchements,1093.0,1093.0,2186.0,accouchements
2011,Causes d'hospitalisation,Naissances,1228.5,1228.5,2457.0,naissances
2012,Causes d'hospitalisation,Naissances,1228.5,1228.5,2457.0,naissances
2013,Causes d'hospitalisation,Naissances,1228.5,1228.5,2457.0,naissances
2011,Causes d'hospitalisation,Obstétrique,2274.0,2274.0,4548.0,sejours
2012,Causes d'hospitalisation,Obstétrique,2274.0,2274.0,4548.0,sejours
2013,Causes d'hospitalisation,Obstétrique,2242.83,2242.83,4485.67,sejours
2014,Causes d'hospitalisation,Obstétrique,2211.67,2211.67,4423.33,sejours
2015,Causes d'hospitalisation,Obstétrique,2180.5,2180.5,4361.0,sejours
2016,Causes d'hospitalisation,Obstétrique,2180.5,2180.5,4361.0,sejours
2011,Causes d'hospitalisation,Pathologies Digestives,4283.0,4283.0,8566.0,sejours
2012,Causes d'hospitalisation,Pathologies Digestives,4283.0,4283.0,8566.0,sejours
2013,Causes d'hospitalisation,Pathologies Digestives,4283.0,4283.0,8566.0,sejours
2014,Causes d'hospitalisation,Pathologies Digestives,4283.0,4283.0,8566.0,sejours
2015,Causes d'hospitalisation,Pathologies Digestives,4283.0,4283.0,8566.0,sejours
2016,Causes d'hospitalisation,Pathologies Digestives,4283.0,4283.0,8566.0,sejours
2011,Causes d'hospitalisation,Pathologies Génito-urinaires,6077.0,6077.0,12154.0,sejours
2012,Causes d'hospitalisation,Pathologies Génito-urinaires,6077.0,6077.0,12154.0,sejours
2013,Causes d'hospitalisation,Pathologies Génito-urinaires,6077.0,6077.0,12154.0,sejours
2014,Causes d'hospitalisation,Pathologies Génito-urinaires,6077.0,6077.0,12154.0,sejours
2015,Causes d'hospitalisation,Pathologies Génito-urinaires,6077.0,6077.0,12154.0,sejours
2016,Causes d'hospitalisation,Pathologies Génito-urinaires,6077.0,6077.0,12154.0,sejours
2011,Causes d'hospitalisation,Pathologies cancéreuses,23394.5,23394.5,46789.0,sejours
2012,Causes d'hospitalisation,Pathologies cancéreuses,23394.5,23394.5,46789.0,sejours
2013,Causes d'hospitalisation,Pathologies cancéreuses,25432.5,25432.5,50865.0,sejours
2014,Causes d'hospitalisation,Pathologies cancéreuses,27470.5,27470.5,54941.0,sejours
2015,Causes d'hospitalisation,Pathologies cancéreuses,29508.5,29508.5,59017.0,sejours
2016,Causes d'hospitalisation,Pathologies cancéreuses,29508.5,29508.5,59017.0,sejours
2011,Causes d'hospitalisation,Pathologies cardio-vasculaires,7637.5,7637.5,15275.0,sejours
2012,Causes d'hospitalisation,Pathologies cardio-vasculaires,7637.5,7637.5,15275.0,sejours
2013,Causes d'hospitalisation,Pathologies cardio-vasculaires,7748.0,7748.0,15496.0,sejours
2014,Causes d'hospitalisation,Pathologies cardio-vasculaires,7858.5,7858.5,15717.0,sejours
2015,Causes d'hospitalisation,Pathologies cardio-vasculaires,7969.0,7969.0,15938.0,sejours
2016,Causes d'hospitalisation,Pathologies cardio-vasculaires,7969.0,7969.0,15938.0,sejours
2011,Causes d'hospitalisation,Pathologies de l’appareil digestif,3143.0,3143.0,6286.0,sejours
2012,Causes d'hospitalisation,Pathologies de l’appareil digestif,3143.0,3143.0,6286.0,sejours
2013,Causes d'hospitalisation,Pathologies de l’appareil digestif,3143.0,3143.0,6286.0,sejours
2011,Causes d'hospitalisation,Pathologies de l’appareil génito-urinaire,5983.0,5983.0,11966.0,sejours
2012,Causes d'hospitalisation,Pathologies de l’appareil génito-urinaire,5983.0,5983.0,11966.0,sejours
2013,Causes d'hospitalisation,Pathologies de l’appareil génito-urinaire,5983.0,5983.0,11966.0,sejours
2011,Causes d'hospitalisation,"Pathologies endocriniennes, métaboliques et nutritionnelles",5805.5,5805.5,11611.0,sejours
2012,Causes d'hospitalisation,"Pathologies endocriniennes, métaboliques et nutritionnelles",5805.5,5805.5,11611.0,sejours
2013,Causes d'hospitalisation,"Pathologies endocriniennes, métaboliques et nutritionnelles",5962.33,5962.33,11924.67,sejours
2014,Causes d'hospitalisation,"Pathologies endocriniennes, métaboliques et nutritionnelles",6119.17,6119.17,12238.33,sejours
2015,Causes d'hospitalisation,"Pathologies endocriniennes, métaboliques et nutritionnelles",6276.0,6276.0,12552.0,sejours
2016,Causes d'hospitalisation,"Pathologies endocriniennes, métaboliques et nutritionnelles",6276.0,6276.0,12552.0,sejours
2011,Causes d'hospitalisation,Pathologies infectieuses,1772.5,1772.5,3545.0,sejours
2012,Causes d'hospitalisation,Pathologies infectieuses,1772.5,1772.5,3545.0,sejours
2013,Causes d'hospitalisation,Pathologies infectieuses,1773.67,1773.67,3547.33,sejours
2014,Causes d'hospitalisation,Pathologies infectieuses,1774.83,1774.83,3549.67,sejours
2015,Causes d'hospitalisation,Pathologies infectieuses,1776.0,1776.0,3552.0,sejours
2016,Causes d'hospitalisation,Pathologies infectieuses,1776.0,1776.0,3552.0,sejours
2011,Causes d'hospitalisation,Pathologies neurologiques,12921.5,12921.5,25843.0,sejours
2012,Causes d'hospitalisation,Pathologies neurologiques,12921.5,12921.5,25843.0,sejours
2013,Causes d'hospitalisation,Pathologies neurologiques,13239.0,13239.0,26478.0,sejours
2014,Causes d'hospitalisation,Pathologies neurologiques,13556.5,13556.5,27113.0,sejours
2015,Causes d'hospitalisation,Pathologies neurologiques,13874.0,13874.0,27748.0,sejours
2016,Causes d'hospitalisation,Pathologies neurologiques,13874.0,13874.0,27748.0,sejours
2011,Causes d'hospitalisation,Pathologies orthopédiques et traumatologiques,5032.0,5032.0,10064.0,sejours
2012,Causes d'hospitalisation,Pathologies orthopédiques et traumatologiques,5032.0,5032.0,10064.0,sejours
2013,Causes d'hospitalisation,Pathologies orthopédiques et traumatologiques,5163.0,5163.0,10326.0,sejours
2014,Causes d'hospitalisation,Pathologies orthopédiques et traumatologiques,5294.0,5294.0,10588.0,sejours
2015,Causes d'hospitalisation,Pathologies orthopédiques et traumatologiques,5425.0,5425.0,10850.0,sejours
2016,Causes d'hospitalisation,Pathologies orthopédiques et traumatologiques,5425.0,5425.0,10850.0,sejours
2011,Centres,Centres d’investigation clinique (CIC),2.0,2.0,4.0,centres
2012,Centres,Centres d’investigation clinique (CIC),2.0,2.0,4.0,centres
2013,Centres,Centres d’investigation clinique (CIC),2.0,2.0,4.0,centres
2014,Centres,Centres d’investigation clinique (CIC),2.0,2.0,4.0,centres
2015,Centres,Centres d’investigation clinique (CIC),2.0,2.0,4.0,centres
2016,Centres,Centres d’investigation clinique (CIC),2.0,2.0,4.0,centres
2017,Centres,Centres d’investigation clinique (CIC),2.0,2.0,4.0,centres
2011,Centres,Centres maladies rares,5.5,5.5,11.0,centres
2012,Centres,Centres maladies rares,5.5,5.5,11.0,centres
2013,Centres,Centres maladies rares,5.5,5.5,11.0,centres
2011,Examens de laboratoire – en actes,B,5177639.0,236071.0,5413710.0,actes
2012,Examens de laboratoire – en actes,B,5034670.0,128091.0,5162761.0,actes
2013,Examens de laboratoire – en actes,B,5034670.0,128091.0,5162761.0,actes
2011,Examens de laboratoire – en actes,BHN,813954.0,1872.0,815826.0,actes
2012,Examens de laboratoire – en actes,BHN,946243.0,2566.0,948809.0,actes
2013,Examens de laboratoire – en actes,BHN,946243.0,2566.0,948809.0,actes
2011,Greffes,Greffes,197.0,197.0,394.0,greffes
2012,Greffes,Greffes,197.0,197.0,394.0,greffes
2013,Greffes,Greffes,197.0,197.0,394.0,greffes
2014,Greffes,Greffes,197.0,197.0,394.0,greffes
2015,Greffes,Greffes,197.0,197.0,394.0,greffes
2016,Greffes,Greffes,197.0,197.0,394.0,greffes
2017,Greffes,Greffes,197.0,197.0,394.0,greffes
2011,Greffes,Greffes réalisées,157.0,157.0,314.0,greffes
2012,Greffes,Greffes réalisées,157.0,157.0,314.0,greffes
2013,Greffes,Greffes réalisées,157.0,157.0,314.0,greffes
2011,Hospitalisation,Hospitalisations,84197.0,84197.0,168394.0,hospitalisations
2012,Hospitalisation,Hospitalisations,84197.0,84197.0,168394.0,hospitalisations
2013,Hospitalisation,Hospitalisations,84197.0,84197.0,168394.0,hospitalisations
2014,Hospitalisation,Hospitalisations,84197.0,84197.0,168394.0,hospitalisations
2015,Hospitalisation,Hospitalisations,84197.0,84197.0,168394.0,hospitalisations
2016,Hospitalisation,Hospitalisations,84197.0,84197.0,168394.0,hospitalisations
2011,Hospitalisation,Hospitalisations totales,77950.0,77950.0,155900.0,hospitalisations
2012,Hospitalisation,Hospitalisations totales,77950.0,77950.0,155900.0,hospitalisations
2013,Hospitalisation,Hospitalisations totales,77950.0,77950.0,155900.0,hospitalisations
2011,Hospitalisation,Nombre de services,36.5,36.5,73.0,services
2012,Hospitalisation,Nombre de services,36.5,36.5,73.0,services
2013,Hospitalisation,Nombre de services,36.5,36.5,73.0,services
2014,Hospitalisation,Nombre de services,36.5,36.5,73.0,services
2015,Hospitalisation,Nombre de services,36.5,36.5,73.0,services
2016,Hospitalisation,Nombre de services,36.5,36.5,73.0,services
2017,Hospitalisation,Nombre de services,36.5,36.5,73.0,services
2011,Mission d'enseignement,Enseignement,2500000.0,2500000.0,5000000.0,€
2012,Mission d'enseignement,Enseignement,2500000.0,2500000.0,5000000.0,€
2013,Mission d'enseignement,Enseignement,2500000.0,2500000.0,5000000.0,€
2014,Mission d'enseignement,Enseignement,2500000.0,2500000.0,5000000.0,€
2015,Mission d'enseignement,Enseignement,2500000.0,2500000.0,5000000.0,€
2016,Mission d'enseignement,Enseignement,2500000.0,2500000.0,5000000.0,€
2011,Mission d'enseignement,Essais cliniques,4750000.0,4750000.0,9500000.0,€
2012,Mission d'enseignement,Essais cliniques,4750000.0,4750000.0,9500000.0,€
2013,Mission d'enseignement,Essais cliniques,4750000.0,4750000.0,9500000.0,€
2014,Mission d'enseignement,Essais cliniques,4750000.0,4750000.0,9500000.0,€
2015,Mission d'enseignement,Essais cliniques,4750000.0,4750000.0,9500000.0,€
2016,Mission d'enseignement,Essais cliniques,4750000.0,4750000.0,9500000.0,€
2011,Mission d'enseignement,Publications,15750000.0,15750000.0,31500000.0,€
2012,Mission d'enseignement,Publications,15750000.0,15750000.0,31500000.0,€
2013,Mission d'enseignement,Publications,17133333.33,17133333.33,34266666.67,€
2014,Mission d'enseignement,Publications,18516666.67,18516666.67,37033333.33,€
2015,Mission d'enseignement,Publications,19900000.0,19900000.0,39800000.0,€
2016,Mission d'enseignement,Publications,19900000.0,19900000.0,39800000.0,€
2011,Mode d'hospitalisation,Consultations,330479.0,330479.0,660958.0,consultations
2012,Mode d'hospitalisation,Consultations,330479.0,330479.0,660958.0,consultations
2013,Mode d'hospitalisation,Consultations,321644.33,321644.33,643288.67,consultations
2014,Mode d'hospitalisation,Consultations,312809.67,312809.67,625619.33,consultations
2015,Mode d'hospitalisation,Consultations,303975.0,303975.0,607950.0,consultations
2016,Mode d'hospitalisation,Consultations,303975.0,303975.0,607950.0,consultations
2011,Mode d'hospitalisation,Consultations externes,630498.0,3038.0,633536.0,consultations
2012,Mode d'hospitalisation,Consultations externes,657047.0,3911.0,660958.0,consultations
2013,Mode d'hospitalisation,Consultations externes,651747.79,3758.21,655506.0,consultations
2014,Mode d'hospitalisation,Consultations externes,646448.57,3605.43,650054.0,consultations
2015,Mode d'hospitalisation,Consultations externes,641149.36,3452.64,644602.0,consultations
2016,Mode d'hospitalisation,Consultations externes,641149.36,3452.64,644602.0,consultations
2011,Mode d'hospitalisation,Nombre de journées SLD,13578.0,90799.0,104377.0,sejours
2012,Mode d'hospitalisation,Nombre de journées SLD,13365.0,76129.0,89494.0,sejours
2013,Mode d'hospitalisation,Nombre de journées SLD,13365.0,76129.0,89494.0,sejours
2011,Mode d'hospitalisation,Nombre de journées SSR,23730.0,45327.0,69057.0,sejours
2012,Mode d'hospitalisation,Nombre de journées SSR,21709.0,51704.0,73413.0,sejours
2013,Mode d'hospitalisation,Nombre de journées SSR,21709.0,51704.0,73413.0,sejours
2011,Mode d'hospitalisation,Nombre de journées psychiatriques,28396.0,6176.0,34572.0,sejours
