ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF_NORMAL,CFX_NORMAL,TOTAL_NORMAL,UNITE,MODE,PLF_CRISE,CFX_CRISE,TOTAL_CRISE,ECART_TOTAL,VARIATION_PCT
2011,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes,Normal,40736.25,40736.25,81472.5,33547.5,70.0
2012,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes,Normal,40736.25,40736.25,81472.5,33547.5,70.0
2013,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes,Normal,40736.25,40736.25,81472.5,33547.5,70.0
2014,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes,Normal,40736.25,40736.25,81472.5,33547.5,70.0
2015,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes,Normal,40736.25,40736.25,81472.5,33547.5,70.0
2016,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes,Normal,40736.25,40736.25,81472.5,33547.5,70.0
2017,Actes,Actes opératoires,23962.5,23962.5,47925.0,actes,Normal,40736.25,40736.25,81472.5,33547.5,70.0
2011,Actes,Actes opératoires - ambulatoires,6245.0,6245.0,12490.0,actes,Normal,10616.5,10616.5,21233.0,8743.0,70.0
2012,Actes,Actes opératoires - ambulatoires,6245.0,6245.0,12490.0,actes,Normal,10616.5,10616.5,21233.0,8743.0,70.0
2013,Actes,Actes opératoires - ambulatoires,6245.0,6245.0,12490.0,actes,Normal,10616.5,10616.5,21233.0,8743.0,70.0
2014,Actes,Actes opératoires - ambulatoires,6245.0,6245.0,12490.0,actes,Normal,10616.5,10616.5,21233.0,8743.0,70.0
2015,Actes,Actes opératoires - ambulatoires,6245.0,6245.0,12490.0,actes,Normal,10616.5,10616.5,21233.0,8743.0,70.0
2016,Actes,Actes opératoires - ambulatoires,6245.0,6245.0,12490.0,actes,Normal,10616.5,10616.5,21233.0,8743.0,70.0
2017,Actes,Actes opératoires - ambulatoires,6245.0,6245.0,12490.0,actes,Normal,10616.5,10616.5,21233.0,8743.0,70.0
2011,Activités en actes,Chirurgie,44931.0,141.0,45072.0,actes,Normal,76382.7,239.7,76622.4,31550.4,70.0
2012,Activités en actes,Chirurgie,45463.0,117.0,45580.0,actes,Normal,77287.1,198.9,77486.0,31906.0,70.0
