ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE
2012,Séjours en ambulatoire par pôle,"3I (Infection, Inflammation, Immunité)",,,9 968,sejours
2012,Séjours MCO par pôle,"3I (Infection, Inflammation, Immunité)",,,9 945,sejours
2015,Séjours en ambulatoire par pôle,"3I (Infection, Inflammation, Immunité)",,,8765,sejours
2015,Causes d'hospitalisation,Accouchements,,,2 279,accouchements
2016,Causes d'hospitalisation,Accouchements,,,2186,accouchements
2016,Actes,Actes opératoires,,,47925,actes
2016,Actes,Actes opératoires - ambulatoires,,,12490,actes
2015,Urgences ,Admissions en hospitalisation,,,7588,patients
2015,Plateux Techniques,Anapath,46887,0,46887,actes
2011,Examens de laboratoire – en actes,B,5 177 639,236 071,,actes
2012,Examens de laboratoire – en actes,B,5 034 670,128 091,,actes
2011,Examens de laboratoire – en actes,BHN,813 954,1 872,,actes
2012,Examens de laboratoire – en actes,BHN,946 243,2 566,,actes
2015,Plateux Techniques,Biochimie (B),5 642 800,44 287,5 687 087,actes
2015,Transplantations,Cardiaques (Cœur),,,99,transplations
2015,Plateux Techniques,CCAM,47 323,0,47 323,actes
2016,Centres,Centres d’investigation clinique (CIC),,,4,centres
2012,Centres,Centres maladies rares,,,11,centres
2011,Activités en séances,Chimiothérapie,19 640,392,20 032,actes
2012,Activités en séances,Chimiothérapie,16 714,482,17 196,actes
2015,Plateux Techniques,Chimiothérapie,28 787,588,29 375,seances
2011,Activités en actes,Chirurgie,44 931,141,45 072,actes
2012,Activités en actes,Chirurgie,45 463,117,45 580,actes
2012,Séjours en ambulatoire par pôle,Chirurgie,,,12 121,sejours
2012,Séjours MCO par pôle,Chirurgie,,,21 987,sejours
2015,Plateux Techniques,Chirurgie,62926,0,62926,actes
2012,Séjours en ambulatoire par pôle,Chirurgie neurosensorielle,,,1 947,sejours
2012,Séjours MCO par pôle,Chirurgie neurosensorielle,,,6 250,sejours
2015,Sejour par Pole,Chirurgie Neurosensorielle Séjours >24h,,,7251,sejours
2015,Sejour par Pole,Chirurgie Séjours >24h,,,22155,sejours
2012,Séjours en ambulatoire par pôle,Cœur-Métabolisme,,,9 559,sejours
2012,Séjours MCO par pôle,Cœur-Métabolisme,,,11 946,sejours
2015,Séjours MCO par pôle,Cœur-Métabolisme,,,14536,sejours
2012,Mode d'hospitalisation,Consultations,,,660 958,consultations
2015,Mode d'hospitalisation,Consultations,,,607 950,consultations
2011,Mode d'hospitalisation,Consultations externes,630 498,3 038,633 536,consultations
2012,Mode d'hospitalisation,Consultations externes,657 047,3 911,660 958,consultations
2015,Mode d'hospitalisation,Consultations externes,,,644602,consultations
2011,Activités en séances,Dialyses,7 862,0,7 862,actes
2012,Activités en séances,Dialyses,7 038,0,7 038,actes
2015,Plateux Techniques,Dialyses,6 733,0,6 733,seances
2012,Recherche,Enseignement,,,7900000,€
2015,Mission d'enseignement,Enseignement,,,5000000,€
2016,Recherche,Essais académiques,,,238,essais
2012,Recherche,Essais cliniques,,,3000000,€
2015,Mission d'enseignement,Essais cliniques,,,9500000,€
2015,Recherche,Essais cliniques actifs,,,838,publications
2016,Recherche,Essais cliniques industriels,,,514,essais
2016,Recherche,Essais institutionnels,,,269,essais
2016,Recherche,Étudiants en médecine/pharmacie/odontologie,,,699,etudiants
2016,Recherche,Étudiants soignants,,,4000,etudiants
2015,Sejour par Pole,Gériatrique Val-de-Marne Séjours >24h,,,4689,sejours
2016,Greffes,Greffes,,,394,greffes
