year,month,value,mode,site_code,indicateur,sous_indicateur,unite
2011,1,2636.0,normal,PLF,Actes,Actes opératoires,actes
2011,2,2157.0,normal,PLF,Actes,Actes opératoires,actes
2011,3,1677.0,normal,PLF,Actes,Actes opératoires,actes
2011,4,1438.0,normal,PLF,Actes,Actes opératoires,actes
2011,5,1438.0,normal,PLF,Actes,Actes opératoires,actes
2011,6,1438.0,normal,PLF,Actes,Actes opératoires,actes
2011,7,2157.0,normal,PLF,Actes,Actes opératoires,actes
2011,8,2636.0,normal,PLF,Actes,Actes opératoires,actes
2011,9,1917.0,normal,PLF,Actes,Actes opératoires,actes
2011,10,2396.0,normal,PLF,Actes,Actes opératoires,actes
2011,11,2396.0,normal,PLF,Actes,Actes opératoires,actes
2011,12,1677.0,normal,PLF,Actes,Actes opératoires,actes
2011,1,1677.0,crise,PLF,Actes,Actes opératoires,actes
2011,2,2396.0,crise,PLF,Actes,Actes opératoires,actes
2011,3,3834.0,crise,PLF,Actes,Actes opératoires,actes
2011,4,3594.0,crise,PLF,Actes,Actes opératoires,actes
2011,5,2157.0,crise,PLF,Actes,Actes opératoires,actes
2011,6,719.0,crise,PLF,Actes,Actes opératoires,actes
2011,7,1677.0,crise,PLF,Actes,Actes opératoires,actes
2011,8,3115.0,crise,PLF,Actes,Actes opératoires,actes
2011,9,1198.0,crise,PLF,Actes,Actes opératoires,actes
2011,10,1438.0,crise,PLF,Actes,Actes opératoires,actes
2011,11,1438.0,crise,PLF,Actes,Actes opératoires,actes
2011,12,719.0,crise,PLF,Actes,Actes opératoires,actes
2011,1,2636.0,normal,CFX,Actes,Actes opératoires,actes
2011,2,2157.0,normal,CFX,Actes,Actes opératoires,actes
2011,3,1677.0,normal,CFX,Actes,Actes opératoires,actes
2011,4,1438.0,normal,CFX,Actes,Actes opératoires,actes
2011,5,1438.0,normal,CFX,Actes,Actes opératoires,actes
2011,6,1438.0,normal,CFX,Actes,Actes opératoires,actes
2011,7,2157.0,normal,CFX,Actes,Actes opératoires,actes
2011,8,2636.0,normal,CFX,Actes,Actes opératoires,actes
2011,9,1917.0,normal,CFX,Actes,Actes opératoires,actes
2011,10,2396.0,normal,CFX,Actes,Actes opératoires,actes
2011,11,2396.0,normal,CFX,Actes,Actes opératoires,actes
2011,12,1677.0,normal,CFX,Actes,Actes opératoires,actes
2011,1,1677.0,crise,CFX,Actes,Actes opératoires,actes
2011,2,2396.0,crise,CFX,Actes,Actes opératoires,actes
2011,3,3834.0,crise,CFX,Actes,Actes opératoires,actes
2011,4,3594.0,crise,CFX,Actes,Actes opératoires,actes
2011,5,2157.0,crise,CFX,Actes,Actes opératoires,actes
2011,6,719.0,crise,CFX,Actes,Actes opératoires,actes
2011,7,1677.0,crise,CFX,Actes,Actes opératoires,actes
2011,8,3115.0,crise,CFX,Actes,Actes opératoires,actes
2011,9,1198.0,crise,CFX,Actes,Actes opératoires,actes
2011,10,1438.0,crise,CFX,Actes,Actes opératoires,actes
2011,11,1438.0,crise,CFX,Actes,Actes opératoires,actes
2011,12,719.0,crise,CFX,Actes,Actes opératoires,actes
2012,1,2636.0,normal,PLF,Actes,Actes opératoires,actes
2012,2,2157.0,normal,PLF,Actes,Actes opératoires,actes
2012,3,1677.0,normal,PLF,Actes,Actes opératoires,actes
2012,4,1438.0,normal,PLF,Actes,Actes opératoires,actes
2012,5,1438.0,normal,PLF,Actes,Actes opératoires,actes
2012,6,1438.0,normal,PLF,Actes,Actes opératoires,actes
2012,7,2157.0,normal,PLF,Actes,Actes opératoires,actes
2012,8,2636.0,normal,PLF,Actes,Actes opératoires,actes
2012,9,1917.0,normal,PLF,Actes,Actes opératoires,actes
2012,10,2396.0,normal,PLF,Actes,Actes opératoires,actes
2012,11,2396.0,normal,PLF,Actes,Actes opératoires,actes
2012,12,1677.0,normal,PLF,Actes,Actes opératoires,actes
2012,1,1677.0,crise,PLF,Actes,Actes opératoires,actes
2012,2,2396.0,crise,PLF,Actes,Actes opératoires,actes
2012,3,3834.0,crise,PLF,Actes,Actes opératoires,actes
2012,4,3594.0,crise,PLF,Actes,Actes opératoires,actes
2012,5,2157.0,crise,PLF,Actes,Actes opératoires,actes
2012,6,719.0,crise,PLF,Actes,Actes opératoires,actes
2012,7,1677.0,crise,PLF,Actes,Actes opératoires,actes
2012,8,3115.0,crise,PLF,Actes,Actes opératoires,actes
2012,9,1198.0,crise,PLF,Actes,Actes opératoires,actes
2012,10,1438.0,crise,PLF,Actes,Actes opératoires,actes
2012,11,1438.0,crise,PLF,Actes,Actes opératoires,actes
2012,12,719.0,crise,PLF,Actes,Actes opératoires,actes
2012,1,2636.0,normal,CFX,Actes,Actes opératoires,actes
2012,2,2157.0,normal,CFX,Actes,Actes opératoires,actes
2012,3,1677.0,normal,CFX,Actes,Actes opératoires,actes
2012,4,1438.0,normal,CFX,Actes,Actes opératoires,actes
2012,5,1438.0,normal,CFX,Actes,Actes opératoires,actes
2012,6,1438.0,normal,CFX,Actes,Actes opératoires,actes
2012,7,2157.0,normal,CFX,Actes,Actes opératoires,actes
2012,8,2636.0,normal,CFX,Actes,Actes opératoires,actes
2012,9,1917.0,normal,CFX,Actes,Actes opératoires,actes
2012,10,2396.0,normal,CFX,Actes,Actes opératoires,actes
2012,11,2396.0,normal,CFX,Actes,Actes opératoires,actes
2012,12,1677.0,normal,CFX,Actes,Actes opératoires,actes
2012,1,1677.0,crise,CFX,Actes,Actes opératoires,actes
2012,2,2396.0,crise,CFX,Actes,Actes opératoires,actes
2012,3,3834.0,crise,CFX,Actes,Actes opératoires,actes
2012,4,3594.0,crise,CFX,Actes,Actes opératoires,actes
2012,5,2157.0,crise,CFX,Actes,Actes opératoires,actes
2012,6,719.0,crise,CFX,Actes,Actes opératoires,actes
2012,7,1677.0,crise,CFX,Actes,Actes opératoires,actes
2012,8,3115.0,crise,CFX,Actes,Actes opératoires,actes
2012,9,1198.0,crise,CFX,Actes,Actes opératoires,actes
2012,10,1438.0,crise,CFX,Actes,Actes opératoires,actes
2012,11,1438.0,crise,CFX,Actes,Actes opératoires,actes
2012,12,719.0,crise,CFX,Actes,Actes opératoires,actes
2013,1,2636.0,normal,PLF,Actes,Actes opératoires,actes
2013,2,2157.0,normal,PLF,Actes,Actes opératoires,actes
2013,3,1677.0,normal,PLF,Actes,Actes opératoires,actes
2013,4,1438.0,normal,PLF,Actes,Actes opératoires,actes
2013,5,1438.0,normal,PLF,Actes,Actes opératoires,actes
2013,6,1438.0,normal,PLF,Actes,Actes opératoires,actes
2013,7,2157.0,normal,PLF,Actes,Actes opératoires,actes
2013,8,2636.0,normal,PLF,Actes,Actes opératoires,actes
2013,9,1917.0,normal,PLF,Actes,Actes opératoires,actes
2013,10,2396.0,normal,PLF,Actes,Actes opératoires,actes
2013,11,2396.0,normal,PLF,Actes,Actes opératoires,actes
2013,12,1677.0,normal,PLF,Actes,Actes opératoires,actes
2013,1,1677.0,crise,PLF,Actes,Actes opératoires,actes
2013,2,2396.0,crise,PLF,Actes,Actes opératoires,actes
2013,3,3834.0,crise,PLF,Actes,Actes opératoires,actes
2013,4,3594.0,crise,PLF,Actes,Actes opératoires,actes
2013,5,2157.0,crise,PLF,Actes,Actes opératoires,actes
2013,6,719.0,crise,PLF,Actes,Actes opératoires,actes
2013,7,1677.0,crise,PLF,Actes,Actes opératoires,actes
2013,8,3115.0,crise,PLF,Actes,Actes opératoires,actes
2013,9,1198.0,crise,PLF,Actes,Actes opératoires,actes
2013,10,1438.0,crise,PLF,Actes,Actes opératoires,actes
2013,11,1438.0,crise,PLF,Actes,Actes opératoires,actes
2013,12,719.0,crise,PLF,Actes,Actes opératoires,actes
2013,1,2636.0,normal,CFX,Actes,Actes opératoires,actes
2013,2,2157.0,normal,CFX,Actes,Actes opératoires,actes
2013,3,1677.0,normal,CFX,Actes,Actes opératoires,actes
2013,4,1438.0,normal,CFX,Actes,Actes opératoires,actes
2013,5,1438.0,normal,CFX,Actes,Actes opératoires,actes
2013,6,1438.0,normal,CFX,Actes,Actes opératoires,actes
2013,7,2157.0,normal,CFX,Actes,Actes opératoires,actes
2013,8,2636.0,normal,CFX,Actes,Actes opératoires,actes
2013,9,1917.0,normal,CFX,Actes,Actes opératoires,actes
2013,10,2396.0,normal,CFX,Actes,Actes opératoires,actes
2013,11,2396.0,normal,CFX,Actes,Actes opératoires,actes
2013,12,1677.0,normal,CFX,Actes,Actes opératoires,actes
2013,1,1677.0,crise,CFX,Actes,Actes opératoires,actes
2013,2,2396.0,crise,CFX,Actes,Actes opératoires,actes
2013,3,3834.0,crise,CFX,Actes,Actes opératoires,actes
2013,4,3594.0,crise,CFX,Actes,Actes opératoires,actes
2013,5,2157.0,crise,CFX,Actes,Actes opératoires,actes
2013,6,719.0,crise,CFX,Actes,Actes opératoires,actes
2013,7,1677.0,crise,CFX,Actes,Actes opératoires,actes
2013,8,3115.0,crise,CFX,Actes,Actes opératoires,actes
2013,9,1198.0,crise,CFX,Actes,Actes opératoires,actes
2013,10,1438.0,crise,CFX,Actes,Actes opératoires,actes
2013,11,1438.0,crise,CFX,Actes,Actes opératoires,actes
2013,12,719.0,crise,CFX,Actes,Actes opératoires,actes
2014,1,2636.0,normal,PLF,Actes,Actes opératoires,actes
2014,2,2157.0,normal,PLF,Actes,Actes opératoires,actes
2014,3,1677.0,normal,PLF,Actes,Actes opératoires,actes
2014,4,1438.0,normal,PLF,Actes,Actes opératoires,actes
2014,5,1438.0,normal,PLF,Actes,Actes opératoires,actes
2014,6,1438.0,normal,PLF,Actes,Actes opératoires,actes
2014,7,2157.0,normal,PLF,Actes,Actes opératoires,actes
2014,8,2636.0,normal,PLF,Actes,Actes opératoires,actes
2014,9,1917.0,normal,PLF,Actes,Actes opératoires,actes
2014,10,2396.0,normal,PLF,Actes,Actes opératoires,actes
2014,11,2396.0,normal,PLF,Actes,Actes opératoires,actes
2014,12,1677.0,normal,PLF,Actes,Actes opératoires,actes
2014,1,1677.0,crise,PLF,Actes,Actes opératoires,actes
2014,2,2396.0,crise,PLF,Actes,Actes opératoires,actes
2014,3,3834.0,crise,PLF,Actes,Actes opératoires,actes
2014,4,3594.0,crise,PLF,Actes,Actes opératoires,actes
2014,5,2157.0,crise,PLF,Actes,Actes opératoires,actes
2014,6,719.0,crise,PLF,Actes,Actes opératoires,actes
2014,7,1677.0,crise,PLF,Actes,Actes opératoires,actes
2014,8,3115.0,crise,PLF,Actes,Actes opératoires,actes
2014,9,1198.0,crise,PLF,Actes,Actes opératoires,actes
2014,10,1438.0,crise,PLF,Actes,Actes opératoires,actes
2014,11,1438.0,crise,PLF,Actes,Actes opératoires,actes
2014,12,719.0,crise,PLF,Actes,Actes opératoires,actes
2014,1,2636.0,normal,CFX,Actes,Actes opératoires,actes
2014,2,2157.0,normal,CFX,Actes,Actes opératoires,actes
2014,3,1677.0,normal,CFX,Actes,Actes opératoires,actes
2014,4,1438.0,normal,CFX,Actes,Actes opératoires,actes
2014,5,1438.0,normal,CFX,Actes,Actes opératoires,actes
2014,6,1438.0,normal,CFX,Actes,Actes opératoires,actes
2014,7,2157.0,normal,CFX,Actes,Actes opératoires,actes
2014,8,2636.0,normal,CFX,Actes,Actes opératoires,actes
2014,9,1917.0,normal,CFX,Actes,Actes opératoires,actes
2014,10,2396.0,normal,CFX,Actes,Actes opératoires,actes
2014,11,2396.0,normal,CFX,Actes,Actes opératoires,actes
2014,12,1677.0,normal,CFX,Actes,Actes opératoires,actes
2014,1,1677.0,crise,CFX,Actes,Actes opératoires,actes
2014,2,2396.0,crise,CFX,Actes,Actes opératoires,actes
2014,3,3834.0,crise,CFX,Actes,Actes opératoires,actes
2014,4,3594.0,crise,CFX,Actes,Actes opératoires,actes
2014,5,2157.0,crise,CFX,Actes,Actes opératoires,actes
2014,6,719.0,crise,CFX,Actes,Actes opératoires,actes
2014,7,1677.0,crise,CFX,Actes,Actes opératoires,actes
2014,8,3115.0,crise,CFX,Actes,Actes opératoires,actes
2014,9,1198.0,crise,CFX,Actes,Actes opératoires,actes
2014,10,1438.0,crise,CFX,Actes,Actes opératoires,actes
2014,11,1438.0,crise,CFX,Actes,Actes opératoires,actes
2014,12,719.0,crise,CFX,Actes,Actes opératoires,actes
2015,1,2636.0,normal,PLF,Actes,Actes opératoires,actes
2015,2,2157.0,normal,PLF,Actes,Actes opératoires,actes
2015,3,1677.0,normal,PLF,Actes,Actes opératoires,actes
2015,4,1438.0,normal,PLF,Actes,Actes opératoires,actes
2015,5,1438.0,normal,PLF,Actes,Actes opératoires,actes
2015,6,1438.0,normal,PLF,Actes,Actes opératoires,actes
2015,7,2157.0,normal,PLF,Actes,Actes opératoires,actes
2015,8,2636.0,normal,PLF,Actes,Actes opératoires,actes
2015,9,1917.0,normal,PLF,Actes,Actes opératoires,actes
2015,10,2396.0,normal,PLF,Actes,Actes opératoires,actes
2015,11,2396.0,normal,PLF,Actes,Actes opératoires,actes
2015,12,1677.0,normal,PLF,Actes,Actes opératoires,actes
2015,1,1677.0,crise,PLF,Actes,Actes opératoires,actes
2015,2,2396.0,crise,PLF,Actes,Actes opératoires,actes
2015,3,3834.0,crise,PLF,Actes,Actes opératoires,actes
2015,4,3594.0,crise,PLF,Actes,Actes opératoires,actes
2015,5,2157.0,crise,PLF,Actes,Actes opératoires,actes
2015,6,719.0,crise,PLF,Actes,Actes opératoires,actes
2015,7,1677.0,crise,PLF,Actes,Actes opératoires,actes
2015,8,3115.0,crise,PLF,Actes,Actes opératoires,actes
2015,9,1198.0,crise,PLF,Actes,Actes opératoires,actes
2015,10,1438.0,crise,PLF,Actes,Actes opératoires,actes
2015,11,1438.0,crise,PLF,Actes,Actes opératoires,actes
2015,12,719.0,crise,PLF,Actes,Actes opératoires,actes
2015,1,2636.0,normal,CFX,Actes,Actes opératoires,actes
2015,2,2157.0,normal,CFX,Actes,Actes opératoires,actes
2015,3,1677.0,normal,CFX,Actes,Actes opératoires,actes
2015,4,1438.0,normal,CFX,Actes,Actes opératoires,actes
2015,5,1438.0,normal,CFX,Actes,Actes opératoires,actes
2015,6,1438.0,normal,CFX,Actes,Actes opératoires,actes
2015,7,2157.0,normal,CFX,Actes,Actes opératoires,actes
2015,8,2636.0,normal,CFX,Actes,Actes opératoires,actes
2015,9,1917.0,normal,CFX,Actes,Actes opératoires,actes
2015,10,2396.0,normal,CFX,Actes,Actes opératoires,actes
2015,11,2396.0,normal,CFX,Actes,Actes opératoires,actes
2015,12,1677.0,normal,CFX,Actes,Actes opératoires,actes
2015,1,1677.0,crise,CFX,Actes,Actes opératoires,actes
2015,2,2396.0,crise,CFX,Actes,Actes opératoires,actes
2015,3,3834.0,crise,CFX,Actes,Actes opératoires,actes
2015,4,3594.0,crise,CFX,Actes,Actes opératoires,actes
2015,5,2157.0,crise,CFX,Actes,Actes opératoires,actes
2015,6,719.0,crise,CFX,Actes,Actes opératoires,actes
2015,7,1677.0,crise,CFX,Actes,Actes opératoires,actes
2015,8,3115.0,crise,CFX,Actes,Actes opératoires,actes
2015,9,1198.0,crise,CFX,Actes,Actes opératoires,actes
2015,10,1438.0,crise,CFX,Actes,Actes opératoires,actes
2015,11,1438.0,crise,CFX,Actes,Actes opératoires,actes
2015,12,719.0,crise,CFX,Actes,Actes opératoires,actes
2016,1,2636.0,normal,PLF,Actes,Actes opératoires,actes
2016,2,2157.0,normal,PLF,Actes,Actes opératoires,actes
2016,3,1677.0,normal,PLF,Actes,Actes opératoires,actes
2016,4,1438.0,normal,PLF,Actes,Actes opératoires,actes
2016,5,1438.0,normal,PLF,Actes,Actes opératoires,actes
2016,6,1438.0,normal,PLF,Actes,Actes opératoires,actes
2016,7,2157.0,normal,PLF,Actes,Actes opératoires,actes
2016,8,2636.0,normal,PLF,Actes,Actes opératoires,actes
2016,9,1917.0,normal,PLF,Actes,Actes opératoires,actes
2016,10,2396.0,normal,PLF,Actes,Actes opératoires,actes
2016,11,2396.0,normal,PLF,Actes,Actes opératoires,actes
2016,12,1677.0,normal,PLF,Actes,Actes opératoires,actes
2016,1,1677.0,crise,PLF,Actes,Actes opératoires,actes
2016,2,2396.0,crise,PLF,Actes,Actes opératoires,actes
2016,3,3834.0,crise,PLF,Actes,Actes opératoires,actes
2016,4,3594.0,crise,PLF,Actes,Actes opératoires,actes
2016,5,2157.0,crise,PLF,Actes,Actes opératoires,actes
2016,6,719.0,crise,PLF,Actes,Actes opératoires,actes
2016,7,1677.0,crise,PLF,Actes,Actes opératoires,actes
2016,8,3115.0,crise,PLF,Actes,Actes opératoires,actes
2016,9,1198.0,crise,PLF,Actes,Actes opératoires,actes
2016,10,1438.0,crise,PLF,Actes,Actes opératoires,actes
2016,11,1438.0,crise,PLF,Actes,Actes opératoires,actes
2016,12,719.0,crise,PLF,Actes,Actes opératoires,actes
2016,1,2636.0,normal,CFX,Actes,Actes opératoires,actes
2016,2,2157.0,normal,CFX,Actes,Actes opératoires,actes
2016,3,1677.0,normal,CFX,Actes,Actes opératoires,actes
2016,4,1438.0,normal,CFX,Actes,Actes opératoires,actes
2016,5,1438.0,normal,CFX,Actes,Actes opératoires,actes
2016,6,1438.0,normal,CFX,Actes,Actes opératoires,actes
2016,7,2157.0,normal,CFX,Actes,Actes opératoires,actes
2016,8,2636.0,normal,CFX,Actes,Actes opératoires,actes
2016,9,1917.0,normal,CFX,Actes,Actes opératoires,actes
2016,10,2396.0,normal,CFX,Actes,Actes opératoires,actes
2016,11,2396.0,normal,CFX,Actes,Actes opératoires,actes
2016,12,1677.0,normal,CFX,Actes,Actes opératoires,actes
2016,1,1677.0,crise,CFX,Actes,Actes opératoires,actes
2016,2,2396.0,crise,CFX,Actes,Actes opératoires,actes
2016,3,3834.0,crise,CFX,Actes,Actes opératoires,actes
2016,4,3594.0,crise,CFX,Actes,Actes opératoires,actes
2016,5,2157.0,crise,CFX,Actes,Actes opératoires,actes
2016,6,719.0,crise,CFX,Actes,Actes opératoires,actes
2016,7,1677.0,crise,CFX,Actes,Actes opératoires,actes
2016,8,3115.0,crise,CFX,Actes,Actes opératoires,actes
2016,9,1198.0,crise,CFX,Actes,Actes opératoires,actes
2016,10,1438.0,crise,CFX,Actes,Actes opératoires,actes
2016,11,1438.0,crise,CFX,Actes,Actes opératoires,actes
2016,12,719.0,crise,CFX,Actes,Actes opératoires,actes
2017,1,2636.0,normal,PLF,Actes,Actes opératoires,actes
2017,2,2157.0,normal,PLF,Actes,Actes opératoires,actes
2017,3,1677.0,normal,PLF,Actes,Actes opératoires,actes
2017,4,1438.0,normal,PLF,Actes,Actes opératoires,actes
2017,5,1438.0,normal,PLF,Actes,Actes opératoires,actes
2017,6,1438.0,normal,PLF,Actes,Actes opératoires,actes
2017,7,2157.0,normal,PLF,Actes,Actes opératoires,actes
2017,8,2636.0,normal,PLF,Actes,Actes opératoires,actes
2017,9,1917.0,normal,PLF,Actes,Actes opératoires,actes
2017,10,2396.0,normal,PLF,Actes,Actes opératoires,actes
2017,11,2396.0,normal,PLF,Actes,Actes opératoires,actes
2017,12,1677.0,normal,PLF,Actes,Actes opératoires,actes
2017,1,1677.0,crise,PLF,Actes,Actes opératoires,actes
2017,2,2396.0,crise,PLF,Actes,Actes opératoires,actes
2017,3,3834.0,crise,PLF,Actes,Actes opératoires,actes
2017,4,3594.0,crise,PLF,Actes,Actes opératoires,actes
2017,5,2157.0,crise,PLF,Actes,Actes opératoires,actes
2017,6,719.0,crise,PLF,Actes,Actes opératoires,actes
2017,7,1677.0,crise,PLF,Actes,Actes opératoires,actes
2017,8,3115.0,crise,PLF,Actes,Actes opératoires,actes
2017,9,1198.0,crise,PLF,Actes,Actes opératoires,actes
2017,10,1438.0,crise,PLF,Actes,Actes opératoires,actes
2017,11,1438.0,crise,PLF,Actes,Actes opératoires,actes
2017,12,719.0,crise,PLF,Actes,Actes opératoires,actes
2017,1,2636.0,normal,CFX,Actes,Actes opératoires,actes
2017,2,2157.0,normal,CFX,Actes,Actes opératoires,actes
2017,3,1677.0,normal,CFX,Actes,Actes opératoires,actes
2017,4,1438.0,normal,CFX,Actes,Actes opératoires,actes
2017,5,1438.0,normal,CFX,Actes,Actes opératoires,actes
2017,6,1438.0,normal,CFX,Actes,Actes opératoires,actes
2017,7,2157.0,normal,CFX,Actes,Actes opératoires,actes
2017,8,2636.0,normal,CFX,Actes,Actes opératoires,actes
2017,9,1917.0,normal,CFX,Actes,Actes opératoires,actes
2017,10,2396.0,normal,CFX,Actes,Actes opératoires,actes
2017,11,2396.0,normal,CFX,Actes,Actes opératoires,actes
2017,12,1677.0,normal,CFX,Actes,Actes opératoires,actes
2017,1,1677.0,crise,CFX,Actes,Actes opératoires,actes
2017,2,2396.0,crise,CFX,Actes,Actes opératoires,actes
2017,3,3834.0,crise,CFX,Actes,Actes opératoires,actes
2017,4,3594.0,crise,CFX,Actes,Actes opératoires,actes
2017,5,2157.0,crise,CFX,Actes,Actes opératoires,actes
2017,6,719.0,crise,CFX,Actes,Actes opératoires,actes
2017,7,1677.0,crise,CFX,Actes,Actes opératoires,actes
2017,8,3115.0,crise,CFX,Actes,Actes opératoires,actes
2017,9,1198.0,crise,CFX,Actes,Actes opératoires,actes
2017,10,1438.0,crise,CFX,Actes,Actes opératoires,actes
2017,11,1438.0,crise,CFX,Actes,Actes opératoires,actes
2017,12,719.0,crise,CFX,Actes,Actes opératoires,actes
2011,1,687.0,normal,PLF,Actes,Actes opératoires - ambulatoires,actes
2011,2,562.0,normal,PLF,Actes,Actes opératoires - ambulatoires,actes
2011,3,437.0,normal,PLF,Actes,Actes opératoires - ambulatoires,actes
