year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise
2017,1,PLF,Actes,Actes opératoires,actes,2636.0,1677.0
2017,2,PLF,Actes,Actes opératoires,actes,2157.0,2396.0
2017,3,PLF,Actes,Actes opératoires,actes,1677.0,3834.0
2017,4,PLF,Actes,Actes opératoires,actes,1438.0,3594.0
2017,5,PLF,Actes,Actes opératoires,actes,1438.0,2157.0
2017,6,PLF,Actes,Actes opératoires,actes,1438.0,719.0
2017,7,PLF,Actes,Actes opératoires,actes,2157.0,1677.0
2017,8,PLF,Actes,Actes opératoires,actes,2636.0,3115.0
2017,9,PLF,Actes,Actes opératoires,actes,1917.0,1198.0
2017,10,PLF,Actes,Actes opératoires,actes,2396.0,1438.0
2017,11,PLF,Actes,Actes opératoires,actes,2396.0,1438.0
2017,12,PLF,Actes,Actes opératoires,actes,1677.0,719.0
2017,1,CFX,Actes,Actes opératoires,actes,2636.0,1677.0
2017,2,CFX,Actes,Actes opératoires,actes,2157.0,2396.0
2017,3,CFX,Actes,Actes opératoires,actes,1677.0,3834.0
2017,4,CFX,Actes,Actes opératoires,actes,1438.0,3594.0
2017,5,CFX,Actes,Actes opératoires,actes,1438.0,2157.0
2017,6,CFX,Actes,Actes opératoires,actes,1438.0,719.0
2017,7,CFX,Actes,Actes opératoires,actes,2157.0,1677.0
2017,8,CFX,Actes,Actes opératoires,actes,2636.0,3115.0
2017,9,CFX,Actes,Actes opératoires,actes,1917.0,1198.0
2017,10,CFX,Actes,Actes opératoires,actes,2396.0,1438.0
2017,11,CFX,Actes,Actes opératoires,actes,2396.0,1438.0
2017,12,CFX,Actes,Actes opératoires,actes,1677.0,719.0
2017,1,PLF,Actes,Actes opératoires - ambulatoires,actes,687.0,437.0
2017,2,PLF,Actes,Actes opératoires - ambulatoires,actes,562.0,624.0
2017,3,PLF,Actes,Actes opératoires - ambulatoires,actes,437.0,999.0
2017,4,PLF,Actes,Actes opératoires - ambulatoires,actes,375.0,937.0
2017,5,PLF,Actes,Actes opératoires - ambulatoires,actes,375.0,562.0
2017,6,PLF,Actes,Actes opératoires - ambulatoires,actes,375.0,187.0
2017,7,PLF,Actes,Actes opératoires - ambulatoires,actes,562.0,437.0
2017,8,PLF,Actes,Actes opératoires - ambulatoires,actes,687.0,812.0
2017,9,PLF,Actes,Actes opératoires - ambulatoires,actes,500.0,312.0
2017,10,PLF,Actes,Actes opératoires - ambulatoires,actes,624.0,375.0
2017,11,PLF,Actes,Actes opératoires - ambulatoires,actes,624.0,375.0
2017,12,PLF,Actes,Actes opératoires - ambulatoires,actes,437.0,187.0
2017,1,CFX,Actes,Actes opératoires - ambulatoires,actes,687.0,437.0
2017,2,CFX,Actes,Actes opératoires - ambulatoires,actes,562.0,624.0
2017,3,CFX,Actes,Actes opératoires - ambulatoires,actes,437.0,999.0
2017,4,CFX,Actes,Actes opératoires - ambulatoires,actes,375.0,937.0
2017,5,CFX,Actes,Actes opératoires - ambulatoires,actes,375.0,562.0
2017,6,CFX,Actes,Actes opératoires - ambulatoires,actes,375.0,187.0
2017,7,CFX,Actes,Actes opératoires - ambulatoires,actes,562.0,437.0
2017,8,CFX,Actes,Actes opératoires - ambulatoires,actes,687.0,812.0
2017,9,CFX,Actes,Actes opératoires - ambulatoires,actes,500.0,312.0
