year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise
2011,1,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2011,2,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2011,3,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2011,4,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2011,5,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2011,6,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,0.0
2011,7,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,1.0
2011,8,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2011,9,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,1.0
2011,10,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2011,11,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2011,12,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2012,1,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2012,2,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2012,3,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2012,4,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2012,5,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2012,6,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,0.0
2012,7,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,1.0
2012,8,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2012,9,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,1.0
2012,10,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2012,11,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2012,12,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2013,1,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2013,2,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2013,3,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2013,4,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2013,5,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2013,6,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,0.0
2013,7,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,1.0
2013,8,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2013,9,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,1.0
2013,10,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2013,11,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2013,12,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2014,1,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2014,2,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2014,3,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2014,4,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2014,5,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2014,6,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,0.0
2014,7,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,1.0
2014,8,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2014,9,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,1.0
2014,10,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2014,11,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2014,12,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2015,1,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2015,2,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2015,3,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2015,4,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2015,5,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2015,6,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,0.0
2015,7,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,1.0
2015,8,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2015,9,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,1.0
2015,10,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2015,11,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2015,12,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2016,1,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2016,2,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2016,3,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2016,4,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2016,5,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2016,6,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,0.0
2016,7,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,1.0
2016,8,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2016,9,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,1.0
2016,10,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2016,11,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2016,12,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2017,1,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2017,2,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2017,3,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2017,4,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2017,5,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2017,6,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,0.0
2017,7,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,1.0
2017,8,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2017,9,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,1.0
2017,10,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2017,11,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2017,12,CFX,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2011,1,CFX,Nombre de lits,Lits,lits,48.0,39.0
2011,2,CFX,Nombre de lits,Lits,lits,39.0,44.0
2011,3,CFX,Nombre de lits,Lits,lits,34.0,63.0
2011,4,CFX,Nombre de lits,Lits,lits,34.0,53.0
2011,5,CFX,Nombre de lits,Lits,lits,34.0,39.0
2011,6,CFX,Nombre de lits,Lits,lits,34.0,10.0
2011,7,CFX,Nombre de lits,Lits,lits,44.0,24.0
2011,8,CFX,Nombre de lits,Lits,lits,53.0,58.0
2011,9,CFX,Nombre de lits,Lits,lits,39.0,29.0
2011,10,CFX,Nombre de lits,Lits,lits,44.0,39.0
2011,11,CFX,Nombre de lits,Lits,lits,44.0,34.0
2011,12,CFX,Nombre de lits,Lits,lits,39.0,53.0
2012,1,CFX,Nombre de lits,Lits,lits,48.0,39.0
2012,2,CFX,Nombre de lits,Lits,lits,39.0,44.0
2012,3,CFX,Nombre de lits,Lits,lits,34.0,63.0
2012,4,CFX,Nombre de lits,Lits,lits,34.0,53.0
2012,5,CFX,Nombre de lits,Lits,lits,34.0,39.0
2012,6,CFX,Nombre de lits,Lits,lits,34.0,10.0
2012,7,CFX,Nombre de lits,Lits,lits,44.0,24.0
2012,8,CFX,Nombre de lits,Lits,lits,53.0,58.0
2012,9,CFX,Nombre de lits,Lits,lits,39.0,29.0
2012,10,CFX,Nombre de lits,Lits,lits,44.0,39.0
2012,11,CFX,Nombre de lits,Lits,lits,44.0,34.0
2012,12,CFX,Nombre de lits,Lits,lits,39.0,53.0
2013,1,CFX,Nombre de lits,Lits,lits,48.0,39.0
2013,2,CFX,Nombre de lits,Lits,lits,39.0,43.0
2013,3,CFX,Nombre de lits,Lits,lits,34.0,63.0
2013,4,CFX,Nombre de lits,Lits,lits,34.0,53.0
2013,5,CFX,Nombre de lits,Lits,lits,34.0,39.0
2013,6,CFX,Nombre de lits,Lits,lits,34.0,10.0
2013,7,CFX,Nombre de lits,Lits,lits,43.0,24.0
2013,8,CFX,Nombre de lits,Lits,lits,53.0,58.0
2013,9,CFX,Nombre de lits,Lits,lits,39.0,29.0
2013,10,CFX,Nombre de lits,Lits,lits,43.0,39.0
2013,11,CFX,Nombre de lits,Lits,lits,43.0,34.0
2013,12,CFX,Nombre de lits,Lits,lits,39.0,53.0
2014,1,CFX,Nombre de lits,Lits,lits,48.0,38.0
2014,2,CFX,Nombre de lits,Lits,lits,38.0,43.0
2014,3,CFX,Nombre de lits,Lits,lits,33.0,62.0
2014,4,CFX,Nombre de lits,Lits,lits,33.0,53.0
2014,5,CFX,Nombre de lits,Lits,lits,33.0,38.0
2014,6,CFX,Nombre de lits,Lits,lits,33.0,10.0
2014,7,CFX,Nombre de lits,Lits,lits,43.0,24.0
2014,8,CFX,Nombre de lits,Lits,lits,53.0,57.0
2014,9,CFX,Nombre de lits,Lits,lits,38.0,29.0
