ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE
2011,Equipement,Salles radiologie,15.0,3.0,18.0,salles
2012,Equipement,Salles radiologie,15.0,3.0,18.0,salles
2013,Equipement,Salles radiologie,15.0,3.0,18.0,salles
2014,Equipement,Salles radiologie,15.0,3.0,18.0,salles
2015,Equipement,Salles radiologie,15.0,3.0,18.0,salles
2016,Equipement,Salles radiologie,15.0,3.0,18.0,salles
2011,Equipement,Scanners diagnostiques,4.0,1.0,5.0,scanners
2012,Equipement,Scanners diagnostiques,4.0,1.0,5.0,scanners
2013,Equipement,Scanners diagnostiques,3.67,1.0,4.67,scanners
2014,Equipement,Scanners diagnostiques,3.33,1.0,4.33,scanners
2015,Equipement,Scanners diagnostiques,3.0,1.0,4.0,scanners
2016,Equipement,Scanners diagnostiques,3.0,1.0,4.0,scanners
2011,Equipement,Échographes,82.0,3.0,85.0,echographes
2012,Equipement,Échographes,82.0,3.0,85.0,echographes
2013,Equipement,Échographes,82.0,3.0,85.0,echographes
2014,Equipement,Échographes,82.0,3.0,85.0,echographes
2015,Equipement,Échographes,82.0,3.0,85.0,echographes
2016,Equipement,Échographes,82.0,3.0,85.0,echographes
2011,Equipement Intervention et Chirurgical,Ablatherm ,1.0,0.0,1.0,appareils
2012,Equipement Intervention et Chirurgical,Ablatherm ,1.0,0.0,1.0,appareils
2013,Equipement Intervention et Chirurgical,Ablatherm ,1.0,0.0,1.0,appareils
2014,Equipement Intervention et Chirurgical,Ablatherm ,1.0,0.0,1.0,appareils
2015,Equipement Intervention et Chirurgical,Ablatherm ,1.0,0.0,1.0,appareils
2016,Equipement Intervention et Chirurgical,Ablatherm ,1.0,0.0,1.0,appareils
2011,Equipement Intervention et Chirurgical,Accélérateurs radiothérapie - Oncologie,2.0,0.0,2.0,accelerateurs
2012,Equipement Intervention et Chirurgical,Accélérateurs radiothérapie - Oncologie,2.0,0.0,2.0,accelerateurs
2013,Equipement Intervention et Chirurgical,Accélérateurs radiothérapie - Oncologie,2.0,0.0,2.0,accelerateurs
2014,Equipement Intervention et Chirurgical,Accélérateurs radiothérapie - Oncologie,2.0,0.0,2.0,accelerateurs
2015,Equipement Intervention et Chirurgical,Accélérateurs radiothérapie - Oncologie,2.0,0.0,2.0,accelerateurs
2016,Equipement Intervention et Chirurgical,Accélérateurs radiothérapie - Oncologie,2.0,0.0,2.0,accelerateurs
2011,Equipement Intervention et Chirurgical,Appareil tomothérapie - Oncologie,0.5,0.5,1.0,appareils
2012,Equipement Intervention et Chirurgical,Appareil tomothérapie - Oncologie,0.5,0.5,1.0,appareils
2013,Equipement Intervention et Chirurgical,Appareil tomothérapie - Oncologie,0.5,0.5,1.0,appareils
2014,Equipement Intervention et Chirurgical,Appareil tomothérapie - Oncologie,0.5,0.5,1.0,appareils
2015,Equipement Intervention et Chirurgical,Appareil tomothérapie - Oncologie,0.5,0.5,1.0,appareils
2016,Equipement Intervention et Chirurgical,Appareil tomothérapie - Oncologie,0.5,0.5,1.0,appareils
2011,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,10.0,0.0,10.0,appareils
2012,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,10.0,0.0,10.0,appareils
2013,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,10.0,0.0,10.0,appareils
2014,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,10.0,0.0,10.0,appareils
2015,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,10.0,0.0,10.0,appareils
2016,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,10.0,0.0,10.0,appareils
2011,Equipement Intervention et Chirurgical,Gamma Knife - Neurochirrurgie,1.0,0.0,1.0,appareils
2012,Equipement Intervention et Chirurgical,Gamma Knife - Neurochirrurgie,1.0,0.0,1.0,appareils
2013,Equipement Intervention et Chirurgical,Gamma Knife - Neurochirrurgie,1.0,0.0,1.0,appareils
2014,Equipement Intervention et Chirurgical,Gamma Knife - Neurochirrurgie,1.0,0.0,1.0,appareils
2015,Equipement Intervention et Chirurgical,Gamma Knife - Neurochirrurgie,1.0,0.0,1.0,appareils
2016,Equipement Intervention et Chirurgical,Gamma Knife - Neurochirrurgie,1.0,0.0,1.0,appareils
2011,Equipement Intervention et Chirurgical,Robot chirurgical - Chirurgie mini-invasive,0.5,0.5,1.0,appareils
2012,Equipement Intervention et Chirurgical,Robot chirurgical - Chirurgie mini-invasive,0.5,0.5,1.0,appareils
2013,Equipement Intervention et Chirurgical,Robot chirurgical - Chirurgie mini-invasive,0.5,0.5,1.0,appareils
2014,Equipement Intervention et Chirurgical,Robot chirurgical - Chirurgie mini-invasive,0.5,0.5,1.0,appareils
2015,Equipement Intervention et Chirurgical,Robot chirurgical - Chirurgie mini-invasive,0.5,0.5,1.0,appareils
2016,Equipement Intervention et Chirurgical,Robot chirurgical - Chirurgie mini-invasive,0.5,0.5,1.0,appareils
2011,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,22.5,22.5,45.0,salles
2012,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,22.5,22.5,45.0,salles
2013,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,22.5,22.5,45.0,salles
2014,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,22.5,22.5,45.0,salles
2015,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,22.5,22.5,45.0,salles
2016,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,22.5,22.5,45.0,salles
2011,Equipements,Laboratoire,15.0,1.0,16.0,laboratoires
2012,Equipements,Laboratoire,15.0,1.0,16.0,laboratoires
2013,Equipements,Laboratoire,15.0,1.0,16.0,laboratoires
2014,Equipements,Laboratoire,15.0,1.0,16.0,laboratoires
2015,Equipements,Laboratoire,15.0,1.0,16.0,laboratoires
2016,Equipements,Laboratoire,15.0,1.0,16.0,laboratoires
2011,Equipements,Laboratoires,15.0,1.0,16.0,laboratoires
2012,Equipements,Laboratoires,15.0,1.0,16.0,laboratoires
2013,Equipements,Laboratoires,15.0,1.0,16.0,laboratoires
2011,Imagerie,IRM,5.0,0.0,5.0,appareils
2012,Imagerie,IRM,5.0,0.0,5.0,appareils
2013,Imagerie,IRM,5.0,0.0,5.0,appareils
2014,Imagerie,IRM,5.0,0.0,5.0,appareils
2015,Imagerie,IRM,5.0,0.0,5.0,appareils
2016,Imagerie,IRM,5.0,0.0,5.0,appareils
2011,Imagerie,IRM ,5.0,0.0,5.0,appareils
2012,Imagerie,IRM ,5.0,0.0,5.0,appareils
2013,Imagerie,IRM ,5.0,0.0,5.0,appareils
2011,Imagerie,Scanner interventionnel,1.0,0.0,1.0,scanners
2012,Imagerie,Scanner interventionnel,1.0,0.0,1.0,scanners
2013,Imagerie,Scanner interventionnel,1.0,0.0,1.0,scanners
2014,Imagerie,Scanner interventionnel,1.0,0.0,1.0,scanners
2015,Imagerie,Scanner interventionnel,1.0,0.0,1.0,scanners
2016,Imagerie,Scanner interventionnel,1.0,0.0,1.0,scanners
2011,Imagerie,Scanner interventionnel ,1.0,0.0,1.0,scanners
2012,Imagerie,Scanner interventionnel ,1.0,0.0,1.0,scanners
2013,Imagerie,Scanner interventionnel ,1.0,0.0,1.0,scanners
2011,Nombre de lits,Gynécologie Obstétrique,56.0,0.0,56.0,lits
2012,Nombre de lits,Gynécologie Obstétrique,56.0,0.0,56.0,lits
2013,Nombre de lits,Gynécologie Obstétrique,56.0,0.0,56.0,lits
2014,Nombre de lits,Gynécologie Obstétrique,56.0,0.0,56.0,lits
2015,Nombre de lits,Gynécologie Obstétrique,56.0,0.0,56.0,lits
2016,Nombre de lits,Gynécologie Obstétrique,56.0,0.0,56.0,lits
2011,Nombre de lits,Lits,1647.0,485.0,2132.0,lits
2012,Nombre de lits,Lits,1647.0,485.0,2132.0,lits
2013,Nombre de lits,Lits,1678.67,481.33,2160.0,lits
2014,Nombre de lits,Lits,1710.33,477.67,2188.0,lits
