ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF_NORMAL,CFX_NORMAL,TOTAL_NORMAL,UNITE,MODE,PLF_CRISE,CFX_CRISE,TOTAL_CRISE,ECART_TOTAL,VARIATION_PCT
2011,Equipement,Salles radiologie,15.0,3.0,18.0,salles,Normal,22.5,4.5,27.0,9.0,50.0
2012,Equipement,Salles radiologie,15.0,3.0,18.0,salles,Normal,22.5,4.5,27.0,9.0,50.0
2013,Equipement,Salles radiologie,15.0,3.0,18.0,salles,Normal,22.5,4.5,27.0,9.0,50.0
2014,Equipement,Salles radiologie,15.0,3.0,18.0,salles,Normal,22.5,4.5,27.0,9.0,50.0
2015,Equipement,Salles radiologie,15.0,3.0,18.0,salles,Normal,22.5,4.5,27.0,9.0,50.0
2016,Equipement,Salles radiologie,15.0,3.0,18.0,salles,Normal,22.5,4.5,27.0,9.0,50.0
2011,Equipement,Scanners diagnostiques,4.0,1.0,5.0,scanners,Normal,6.0,1.5,7.5,2.5,50.0
2012,Equipement,Scanners diagnostiques,4.0,1.0,5.0,scanners,Normal,6.0,1.5,7.5,2.5,50.0
2013,Equipement,Scanners diagnostiques,3.67,1.0,4.67,scanners,Normal,5.5,1.5,7.0,2.33,49.89
2014,Equipement,Scanners diagnostiques,3.33,1.0,4.33,scanners,Normal,5.0,1.5,6.5,2.17,50.12
2015,Equipement,Scanners diagnostiques,3.0,1.0,4.0,scanners,Normal,4.5,1.5,6.0,2.0,50.0
2016,Equipement,Scanners diagnostiques,3.0,1.0,4.0,scanners,Normal,4.5,1.5,6.0,2.0,50.0
2011,Equipement,Échographes,82.0,3.0,85.0,echographes,Normal,123.0,4.5,127.5,42.5,50.0
2012,Equipement,Échographes,82.0,3.0,85.0,echographes,Normal,123.0,4.5,127.5,42.5,50.0
2013,Equipement,Échographes,82.0,3.0,85.0,echographes,Normal,123.0,4.5,127.5,42.5,50.0
2014,Equipement,Échographes,82.0,3.0,85.0,echographes,Normal,123.0,4.5,127.5,42.5,50.0
2015,Equipement,Échographes,82.0,3.0,85.0,echographes,Normal,123.0,4.5,127.5,42.5,50.0
2016,Equipement,Échographes,82.0,3.0,85.0,echographes,Normal,123.0,4.5,127.5,42.5,50.0
2011,Equipement Intervention et Chirurgical,Ablatherm ,1.0,0.0,1.0,appareils,Normal,1.5,0.0,1.5,0.5,50.0
2012,Equipement Intervention et Chirurgical,Ablatherm ,1.0,0.0,1.0,appareils,Normal,1.5,0.0,1.5,0.5,50.0
2013,Equipement Intervention et Chirurgical,Ablatherm ,1.0,0.0,1.0,appareils,Normal,1.5,0.0,1.5,0.5,50.0
2014,Equipement Intervention et Chirurgical,Ablatherm ,1.0,0.0,1.0,appareils,Normal,1.5,0.0,1.5,0.5,50.0
2015,Equipement Intervention et Chirurgical,Ablatherm ,1.0,0.0,1.0,appareils,Normal,1.5,0.0,1.5,0.5,50.0
2016,Equipement Intervention et Chirurgical,Ablatherm ,1.0,0.0,1.0,appareils,Normal,1.5,0.0,1.5,0.5,50.0
2011,Equipement Intervention et Chirurgical,Accélérateurs radiothérapie - Oncologie,2.0,0.0,2.0,accelerateurs,Normal,3.0,0.0,3.0,1.0,50.0
2012,Equipement Intervention et Chirurgical,Accélérateurs radiothérapie - Oncologie,2.0,0.0,2.0,accelerateurs,Normal,3.0,0.0,3.0,1.0,50.0
2013,Equipement Intervention et Chirurgical,Accélérateurs radiothérapie - Oncologie,2.0,0.0,2.0,accelerateurs,Normal,3.0,0.0,3.0,1.0,50.0
2014,Equipement Intervention et Chirurgical,Accélérateurs radiothérapie - Oncologie,2.0,0.0,2.0,accelerateurs,Normal,3.0,0.0,3.0,1.0,50.0
2015,Equipement Intervention et Chirurgical,Accélérateurs radiothérapie - Oncologie,2.0,0.0,2.0,accelerateurs,Normal,3.0,0.0,3.0,1.0,50.0
2016,Equipement Intervention et Chirurgical,Accélérateurs radiothérapie - Oncologie,2.0,0.0,2.0,accelerateurs,Normal,3.0,0.0,3.0,1.0,50.0
2011,Equipement Intervention et Chirurgical,Appareil tomothérapie - Oncologie,0.5,0.5,1.0,appareils,Normal,0.75,0.75,1.5,0.5,50.0
2012,Equipement Intervention et Chirurgical,Appareil tomothérapie - Oncologie,0.5,0.5,1.0,appareils,Normal,0.75,0.75,1.5,0.5,50.0
2013,Equipement Intervention et Chirurgical,Appareil tomothérapie - Oncologie,0.5,0.5,1.0,appareils,Normal,0.75,0.75,1.5,0.5,50.0
2014,Equipement Intervention et Chirurgical,Appareil tomothérapie - Oncologie,0.5,0.5,1.0,appareils,Normal,0.75,0.75,1.5,0.5,50.0
2015,Equipement Intervention et Chirurgical,Appareil tomothérapie - Oncologie,0.5,0.5,1.0,appareils,Normal,0.75,0.75,1.5,0.5,50.0
2016,Equipement Intervention et Chirurgical,Appareil tomothérapie - Oncologie,0.5,0.5,1.0,appareils,Normal,0.75,0.75,1.5,0.5,50.0
2011,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,10.0,0.0,10.0,appareils,Normal,15.0,0.0,15.0,5.0,50.0
