year,month,value,mode,site_code,indicateur,sous_indicateur,unite
2011,1,2.0,normal,PLF,Equipement,Salles radiologie,salles
2011,2,1.0,normal,PLF,Equipement,Salles radiologie,salles
2011,3,1.0,normal,PLF,Equipement,Salles radiologie,salles
2011,4,1.0,normal,PLF,Equipement,Salles radiologie,salles
2011,5,1.0,normal,PLF,Equipement,Salles radiologie,salles
2011,6,1.0,normal,PLF,Equipement,Salles radiologie,salles
2011,7,1.0,normal,PLF,Equipement,Salles radiologie,salles
2011,8,2.0,normal,PLF,Equipement,Salles radiologie,salles
2011,9,1.0,normal,PLF,Equipement,Salles radiologie,salles
2011,10,1.0,normal,PLF,Equipement,Salles radiologie,salles
2011,11,1.0,normal,PLF,Equipement,Salles radiologie,salles
2011,12,1.0,normal,PLF,Equipement,Salles radiologie,salles
2011,1,1.0,crise,PLF,Equipement,Salles radiologie,salles
2011,2,1.0,crise,PLF,Equipement,Salles radiologie,salles
2011,3,2.0,crise,PLF,Equipement,Salles radiologie,salles
2011,4,2.0,crise,PLF,Equipement,Salles radiologie,salles
2011,5,1.0,crise,PLF,Equipement,Salles radiologie,salles
2011,7,1.0,crise,PLF,Equipement,Salles radiologie,salles
2011,8,2.0,crise,PLF,Equipement,Salles radiologie,salles
2011,9,1.0,crise,PLF,Equipement,Salles radiologie,salles
2011,10,1.0,crise,PLF,Equipement,Salles radiologie,salles
2011,11,1.0,crise,PLF,Equipement,Salles radiologie,salles
2011,12,2.0,crise,PLF,Equipement,Salles radiologie,salles
2012,1,2.0,normal,PLF,Equipement,Salles radiologie,salles
2012,2,1.0,normal,PLF,Equipement,Salles radiologie,salles
2012,3,1.0,normal,PLF,Equipement,Salles radiologie,salles
2012,4,1.0,normal,PLF,Equipement,Salles radiologie,salles
2012,5,1.0,normal,PLF,Equipement,Salles radiologie,salles
2012,6,1.0,normal,PLF,Equipement,Salles radiologie,salles
2012,7,1.0,normal,PLF,Equipement,Salles radiologie,salles
2012,8,2.0,normal,PLF,Equipement,Salles radiologie,salles
2012,9,1.0,normal,PLF,Equipement,Salles radiologie,salles
2012,10,1.0,normal,PLF,Equipement,Salles radiologie,salles
2012,11,1.0,normal,PLF,Equipement,Salles radiologie,salles
2012,12,1.0,normal,PLF,Equipement,Salles radiologie,salles
2012,1,1.0,crise,PLF,Equipement,Salles radiologie,salles
2012,2,1.0,crise,PLF,Equipement,Salles radiologie,salles
2012,3,2.0,crise,PLF,Equipement,Salles radiologie,salles
2012,4,2.0,crise,PLF,Equipement,Salles radiologie,salles
2012,5,1.0,crise,PLF,Equipement,Salles radiologie,salles
2012,7,1.0,crise,PLF,Equipement,Salles radiologie,salles
2012,8,2.0,crise,PLF,Equipement,Salles radiologie,salles
2012,9,1.0,crise,PLF,Equipement,Salles radiologie,salles
2012,10,1.0,crise,PLF,Equipement,Salles radiologie,salles
2012,11,1.0,crise,PLF,Equipement,Salles radiologie,salles
2012,12,2.0,crise,PLF,Equipement,Salles radiologie,salles
2013,1,2.0,normal,PLF,Equipement,Salles radiologie,salles
2013,2,1.0,normal,PLF,Equipement,Salles radiologie,salles
2013,3,1.0,normal,PLF,Equipement,Salles radiologie,salles
2013,4,1.0,normal,PLF,Equipement,Salles radiologie,salles
2013,5,1.0,normal,PLF,Equipement,Salles radiologie,salles
2013,6,1.0,normal,PLF,Equipement,Salles radiologie,salles
2013,7,1.0,normal,PLF,Equipement,Salles radiologie,salles
2013,8,2.0,normal,PLF,Equipement,Salles radiologie,salles
2013,9,1.0,normal,PLF,Equipement,Salles radiologie,salles
2013,10,1.0,normal,PLF,Equipement,Salles radiologie,salles
2013,11,1.0,normal,PLF,Equipement,Salles radiologie,salles
2013,12,1.0,normal,PLF,Equipement,Salles radiologie,salles
2013,1,1.0,crise,PLF,Equipement,Salles radiologie,salles
2013,2,1.0,crise,PLF,Equipement,Salles radiologie,salles
2013,3,2.0,crise,PLF,Equipement,Salles radiologie,salles
2013,4,2.0,crise,PLF,Equipement,Salles radiologie,salles
2013,5,1.0,crise,PLF,Equipement,Salles radiologie,salles
2013,7,1.0,crise,PLF,Equipement,Salles radiologie,salles
2013,8,2.0,crise,PLF,Equipement,Salles radiologie,salles
2013,9,1.0,crise,PLF,Equipement,Salles radiologie,salles
2013,10,1.0,crise,PLF,Equipement,Salles radiologie,salles
2013,11,1.0,crise,PLF,Equipement,Salles radiologie,salles
2013,12,2.0,crise,PLF,Equipement,Salles radiologie,salles
2014,1,2.0,normal,PLF,Equipement,Salles radiologie,salles
2014,2,1.0,normal,PLF,Equipement,Salles radiologie,salles
2014,3,1.0,normal,PLF,Equipement,Salles radiologie,salles
2014,4,1.0,normal,PLF,Equipement,Salles radiologie,salles
2014,5,1.0,normal,PLF,Equipement,Salles radiologie,salles
2014,6,1.0,normal,PLF,Equipement,Salles radiologie,salles
2014,7,1.0,normal,PLF,Equipement,Salles radiologie,salles
2014,8,2.0,normal,PLF,Equipement,Salles radiologie,salles
2014,9,1.0,normal,PLF,Equipement,Salles radiologie,salles
2014,10,1.0,normal,PLF,Equipement,Salles radiologie,salles
2014,11,1.0,normal,PLF,Equipement,Salles radiologie,salles
2014,12,1.0,normal,PLF,Equipement,Salles radiologie,salles
2014,1,1.0,crise,PLF,Equipement,Salles radiologie,salles
2014,2,1.0,crise,PLF,Equipement,Salles radiologie,salles
2014,3,2.0,crise,PLF,Equipement,Salles radiologie,salles
2014,4,2.0,crise,PLF,Equipement,Salles radiologie,salles
2014,5,1.0,crise,PLF,Equipement,Salles radiologie,salles
2014,7,1.0,crise,PLF,Equipement,Salles radiologie,salles
2014,8,2.0,crise,PLF,Equipement,Salles radiologie,salles
2014,9,1.0,crise,PLF,Equipement,Salles radiologie,salles
2014,10,1.0,crise,PLF,Equipement,Salles radiologie,salles
2014,11,1.0,crise,PLF,Equipement,Salles radiologie,salles
2014,12,2.0,crise,PLF,Equipement,Salles radiologie,salles
2015,1,2.0,normal,PLF,Equipement,Salles radiologie,salles
2015,2,1.0,normal,PLF,Equipement,Salles radiologie,salles
2015,3,1.0,normal,PLF,Equipement,Salles radiologie,salles
2015,4,1.0,normal,PLF,Equipement,Salles radiologie,salles
2015,5,1.0,normal,PLF,Equipement,Salles radiologie,salles
2015,6,1.0,normal,PLF,Equipement,Salles radiologie,salles
2015,7,1.0,normal,PLF,Equipement,Salles radiologie,salles
2015,8,2.0,normal,PLF,Equipement,Salles radiologie,salles
2015,9,1.0,normal,PLF,Equipement,Salles radiologie,salles
2015,10,1.0,normal,PLF,Equipement,Salles radiologie,salles
2015,11,1.0,normal,PLF,Equipement,Salles radiologie,salles
2015,12,1.0,normal,PLF,Equipement,Salles radiologie,salles
2015,1,1.0,crise,PLF,Equipement,Salles radiologie,salles
2015,2,1.0,crise,PLF,Equipement,Salles radiologie,salles
2015,3,2.0,crise,PLF,Equipement,Salles radiologie,salles
2015,4,2.0,crise,PLF,Equipement,Salles radiologie,salles
2015,5,1.0,crise,PLF,Equipement,Salles radiologie,salles
2015,7,1.0,crise,PLF,Equipement,Salles radiologie,salles
2015,8,2.0,crise,PLF,Equipement,Salles radiologie,salles
2015,9,1.0,crise,PLF,Equipement,Salles radiologie,salles
2015,10,1.0,crise,PLF,Equipement,Salles radiologie,salles
2015,11,1.0,crise,PLF,Equipement,Salles radiologie,salles
2015,12,2.0,crise,PLF,Equipement,Salles radiologie,salles
2016,1,2.0,normal,PLF,Equipement,Salles radiologie,salles
2016,2,1.0,normal,PLF,Equipement,Salles radiologie,salles
2016,3,1.0,normal,PLF,Equipement,Salles radiologie,salles
2016,4,1.0,normal,PLF,Equipement,Salles radiologie,salles
2016,5,1.0,normal,PLF,Equipement,Salles radiologie,salles
2016,6,1.0,normal,PLF,Equipement,Salles radiologie,salles
2016,7,1.0,normal,PLF,Equipement,Salles radiologie,salles
2016,8,2.0,normal,PLF,Equipement,Salles radiologie,salles
2016,9,1.0,normal,PLF,Equipement,Salles radiologie,salles
2016,10,1.0,normal,PLF,Equipement,Salles radiologie,salles
2016,11,1.0,normal,PLF,Equipement,Salles radiologie,salles
2016,12,1.0,normal,PLF,Equipement,Salles radiologie,salles
2016,1,1.0,crise,PLF,Equipement,Salles radiologie,salles
2016,2,1.0,crise,PLF,Equipement,Salles radiologie,salles
2016,3,2.0,crise,PLF,Equipement,Salles radiologie,salles
2016,4,2.0,crise,PLF,Equipement,Salles radiologie,salles
2016,5,1.0,crise,PLF,Equipement,Salles radiologie,salles
2016,7,1.0,crise,PLF,Equipement,Salles radiologie,salles
2016,8,2.0,crise,PLF,Equipement,Salles radiologie,salles
2016,9,1.0,crise,PLF,Equipement,Salles radiologie,salles
2016,10,1.0,crise,PLF,Equipement,Salles radiologie,salles
2016,11,1.0,crise,PLF,Equipement,Salles radiologie,salles
2016,12,2.0,crise,PLF,Equipement,Salles radiologie,salles
2011,3,1.0,crise,PLF,Equipement,Scanners diagnostiques,scanners
2012,3,1.0,crise,PLF,Equipement,Scanners diagnostiques,scanners
2011,1,8.0,normal,PLF,Equipement,Échographes,echographes
2011,2,7.0,normal,PLF,Equipement,Échographes,echographes
2011,3,6.0,normal,PLF,Equipement,Échographes,echographes
2011,4,6.0,normal,PLF,Equipement,Échographes,echographes
2011,5,6.0,normal,PLF,Equipement,Échographes,echographes
2011,6,6.0,normal,PLF,Equipement,Échographes,echographes
2011,7,7.0,normal,PLF,Equipement,Échographes,echographes
2011,8,9.0,normal,PLF,Equipement,Échographes,echographes
2011,9,7.0,normal,PLF,Equipement,Échographes,echographes
2011,10,7.0,normal,PLF,Equipement,Échographes,echographes
2011,11,7.0,normal,PLF,Equipement,Échographes,echographes
2011,12,7.0,normal,PLF,Equipement,Échographes,echographes
2011,1,7.0,crise,PLF,Equipement,Échographes,echographes
2011,2,7.0,crise,PLF,Equipement,Échographes,echographes
2011,3,11.0,crise,PLF,Equipement,Échographes,echographes
2011,4,9.0,crise,PLF,Equipement,Échographes,echographes
2011,5,7.0,crise,PLF,Equipement,Échographes,echographes
2011,6,2.0,crise,PLF,Equipement,Échographes,echographes
2011,7,4.0,crise,PLF,Equipement,Échographes,echographes
2011,8,10.0,crise,PLF,Equipement,Échographes,echographes
2011,9,5.0,crise,PLF,Equipement,Échographes,echographes
2011,10,7.0,crise,PLF,Equipement,Échographes,echographes
2011,11,6.0,crise,PLF,Equipement,Échographes,echographes
2011,12,9.0,crise,PLF,Equipement,Échographes,echographes
2012,1,8.0,normal,PLF,Equipement,Échographes,echographes
2012,2,7.0,normal,PLF,Equipement,Échographes,echographes
2012,3,6.0,normal,PLF,Equipement,Échographes,echographes
2012,4,6.0,normal,PLF,Equipement,Échographes,echographes
2012,5,6.0,normal,PLF,Equipement,Échographes,echographes
2012,6,6.0,normal,PLF,Equipement,Échographes,echographes
2012,7,7.0,normal,PLF,Equipement,Échographes,echographes
2012,8,9.0,normal,PLF,Equipement,Échographes,echographes
2012,9,7.0,normal,PLF,Equipement,Échographes,echographes
2012,10,7.0,normal,PLF,Equipement,Échographes,echographes
2012,11,7.0,normal,PLF,Equipement,Échographes,echographes
2012,12,7.0,normal,PLF,Equipement,Échographes,echographes
2012,1,7.0,crise,PLF,Equipement,Échographes,echographes
2012,2,7.0,crise,PLF,Equipement,Échographes,echographes
2012,3,11.0,crise,PLF,Equipement,Échographes,echographes
2012,4,9.0,crise,PLF,Equipement,Échographes,echographes
2012,5,7.0,crise,PLF,Equipement,Échographes,echographes
2012,6,2.0,crise,PLF,Equipement,Échographes,echographes
2012,7,4.0,crise,PLF,Equipement,Échographes,echographes
2012,8,10.0,crise,PLF,Equipement,Échographes,echographes
2012,9,5.0,crise,PLF,Equipement,Échographes,echographes
2012,10,7.0,crise,PLF,Equipement,Échographes,echographes
2012,11,6.0,crise,PLF,Equipement,Échographes,echographes
2012,12,9.0,crise,PLF,Equipement,Échographes,echographes
2013,1,8.0,normal,PLF,Equipement,Échographes,echographes
2013,2,7.0,normal,PLF,Equipement,Échographes,echographes
2013,3,6.0,normal,PLF,Equipement,Échographes,echographes
2013,4,6.0,normal,PLF,Equipement,Échographes,echographes
2013,5,6.0,normal,PLF,Equipement,Échographes,echographes
2013,6,6.0,normal,PLF,Equipement,Échographes,echographes
2013,7,7.0,normal,PLF,Equipement,Échographes,echographes
2013,8,9.0,normal,PLF,Equipement,Échographes,echographes
