year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise
2017,1,PLF,Equipement,Salles radiologie,salles,2.0,1.0
2017,2,PLF,Equipement,Salles radiologie,salles,1.0,1.0
2017,3,PLF,Equipement,Salles radiologie,salles,1.0,2.0
2017,4,PLF,Equipement,Salles radiologie,salles,1.0,2.0
2017,5,PLF,Equipement,Salles radiologie,salles,1.0,1.0
2017,6,PLF,Equipement,Salles radiologie,salles,1.0,0.0
2017,7,PLF,Equipement,Salles radiologie,salles,1.0,1.0
2017,8,PLF,Equipement,Salles radiologie,salles,2.0,2.0
2017,9,PLF,Equipement,Salles radiologie,salles,1.0,1.0
2017,10,PLF,Equipement,Salles radiologie,salles,1.0,1.0
2017,11,PLF,Equipement,Salles radiologie,salles,1.0,1.0
2017,12,PLF,Equipement,Salles radiologie,salles,1.0,2.0
2017,1,PLF,Equipement,Échographes,echographes,8.0,7.0
2017,2,PLF,Equipement,Échographes,echographes,7.0,7.0
2017,3,PLF,Equipement,Échographes,echographes,6.0,11.0
2017,4,PLF,Equipement,Échographes,echographes,6.0,9.0
2017,5,PLF,Equipement,Échographes,echographes,6.0,7.0
2017,6,PLF,Equipement,Échographes,echographes,6.0,2.0
2017,7,PLF,Equipement,Échographes,echographes,7.0,4.0
2017,8,PLF,Equipement,Échographes,echographes,9.0,10.0
2017,9,PLF,Equipement,Échographes,echographes,7.0,5.0
2017,10,PLF,Equipement,Échographes,echographes,7.0,7.0
2017,11,PLF,Equipement,Échographes,echographes,7.0,6.0
2017,12,PLF,Equipement,Échographes,echographes,7.0,9.0
2017,1,PLF,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,appareils,1.0,1.0
2017,2,PLF,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,appareils,1.0,1.0
2017,3,PLF,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,appareils,1.0,1.0
2017,4,PLF,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,appareils,1.0,1.0
2017,5,PLF,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,appareils,1.0,1.0
2017,6,PLF,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,appareils,1.0,0.0
2017,7,PLF,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,appareils,1.0,0.0
2017,8,PLF,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,appareils,1.0,1.0
2017,9,PLF,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,appareils,1.0,1.0
2017,10,PLF,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,appareils,1.0,1.0
2017,11,PLF,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,appareils,1.0,1.0
2017,12,PLF,Equipement Intervention et Chirurgical,Appareils angionumérisés - Cardiologie/Neuroradio ,appareils,1.0,1.0
2017,1,PLF,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2017,2,PLF,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2017,3,PLF,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,3.0
2017,4,PLF,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2017,5,PLF,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,2.0
2017,6,PLF,Equipement Intervention et Chirurgical,Salles blocs opératoires - Chirurgie générale,salles,2.0,0.0
