year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise
2011,1,CFX,Crédit d'investissement,Informatique,€,136000.0,108800.0
2011,2,CFX,Crédit d'investissement,Informatique,€,108800.0,122400.0
2011,3,CFX,Crédit d'investissement,Informatique,€,95200.0,190400.0
2011,4,CFX,Crédit d'investissement,Informatique,€,81600.0,176800.0
2011,5,CFX,Crédit d'investissement,Informatique,€,68000.0,108800.0
2011,6,CFX,Crédit d'investissement,Informatique,€,108800.0,40800.0
2011,7,CFX,Crédit d'investissement,Informatique,€,95200.0,81600.0
2011,8,CFX,Crédit d'investissement,Informatique,€,122400.0,176800.0
2011,9,CFX,Crédit d'investissement,Informatique,€,108800.0,81600.0
2011,10,CFX,Crédit d'investissement,Informatique,€,122400.0,68000.0
2011,11,CFX,Crédit d'investissement,Informatique,€,136000.0,95200.0
2011,12,CFX,Crédit d'investissement,Informatique,€,176800.0,108800.0
2012,1,CFX,Crédit d'investissement,Informatique,€,136000.0,108800.0
2012,2,CFX,Crédit d'investissement,Informatique,€,108800.0,122400.0
2012,3,CFX,Crédit d'investissement,Informatique,€,95200.0,190400.0
2012,4,CFX,Crédit d'investissement,Informatique,€,81600.0,176800.0
2012,5,CFX,Crédit d'investissement,Informatique,€,68000.0,108800.0
2012,6,CFX,Crédit d'investissement,Informatique,€,108800.0,40800.0
2012,7,CFX,Crédit d'investissement,Informatique,€,95200.0,81600.0
2012,8,CFX,Crédit d'investissement,Informatique,€,122400.0,176800.0
2012,9,CFX,Crédit d'investissement,Informatique,€,108800.0,81600.0
2012,10,CFX,Crédit d'investissement,Informatique,€,122400.0,68000.0
2012,11,CFX,Crédit d'investissement,Informatique,€,136000.0,95200.0
2012,12,CFX,Crédit d'investissement,Informatique,€,176800.0,108800.0
2013,1,CFX,Crédit d'investissement,Informatique,€,136000.0,108800.0
2013,2,CFX,Crédit d'investissement,Informatique,€,108800.0,122400.0
2013,3,CFX,Crédit d'investissement,Informatique,€,95200.0,190400.0
2013,4,CFX,Crédit d'investissement,Informatique,€,81600.0,176800.0
2013,5,CFX,Crédit d'investissement,Informatique,€,68000.0,108800.0
2013,6,CFX,Crédit d'investissement,Informatique,€,108800.0,40800.0
2013,7,CFX,Crédit d'investissement,Informatique,€,95200.0,81600.0
2013,8,CFX,Crédit d'investissement,Informatique,€,122400.0,176800.0
2013,9,CFX,Crédit d'investissement,Informatique,€,108800.0,81600.0
2013,10,CFX,Crédit d'investissement,Informatique,€,122400.0,68000.0
2013,11,CFX,Crédit d'investissement,Informatique,€,136000.0,95200.0
2013,12,CFX,Crédit d'investissement,Informatique,€,176800.0,108800.0
2014,1,CFX,Crédit d'investissement,Informatique,€,136000.0,108800.0
2014,2,CFX,Crédit d'investissement,Informatique,€,108800.0,122400.0
2014,3,CFX,Crédit d'investissement,Informatique,€,95200.0,190400.0
2014,4,CFX,Crédit d'investissement,Informatique,€,81600.0,176800.0
2014,5,CFX,Crédit d'investissement,Informatique,€,68000.0,108800.0
2014,6,CFX,Crédit d'investissement,Informatique,€,108800.0,40800.0
2014,7,CFX,Crédit d'investissement,Informatique,€,95200.0,81600.0
2014,8,CFX,Crédit d'investissement,Informatique,€,122400.0,176800.0
2014,9,CFX,Crédit d'investissement,Informatique,€,108800.0,81600.0
2014,10,CFX,Crédit d'investissement,Informatique,€,122400.0,68000.0
2014,11,CFX,Crédit d'investissement,Informatique,€,136000.0,95200.0
2014,12,CFX,Crédit d'investissement,Informatique,€,176800.0,108800.0
2015,1,CFX,Crédit d'investissement,Informatique,€,136000.0,108800.0
2015,2,CFX,Crédit d'investissement,Informatique,€,108800.0,122400.0
2015,3,CFX,Crédit d'investissement,Informatique,€,95200.0,190400.0
2015,4,CFX,Crédit d'investissement,Informatique,€,81600.0,176800.0
2015,5,CFX,Crédit d'investissement,Informatique,€,68000.0,108800.0
2015,6,CFX,Crédit d'investissement,Informatique,€,108800.0,40800.0
2015,7,CFX,Crédit d'investissement,Informatique,€,95200.0,81600.0
2015,8,CFX,Crédit d'investissement,Informatique,€,122400.0,176800.0
2015,9,CFX,Crédit d'investissement,Informatique,€,108800.0,81600.0
2015,10,CFX,Crédit d'investissement,Informatique,€,122400.0,68000.0
2015,11,CFX,Crédit d'investissement,Informatique,€,136000.0,95200.0
2015,12,CFX,Crédit d'investissement,Informatique,€,176800.0,108800.0
2016,1,CFX,Crédit d'investissement,Informatique,€,136000.0,108800.0
2016,2,CFX,Crédit d'investissement,Informatique,€,108800.0,122400.0
2016,3,CFX,Crédit d'investissement,Informatique,€,95200.0,190400.0
2016,4,CFX,Crédit d'investissement,Informatique,€,81600.0,176800.0
2016,5,CFX,Crédit d'investissement,Informatique,€,68000.0,108800.0
2016,6,CFX,Crédit d'investissement,Informatique,€,108800.0,40800.0
2016,7,CFX,Crédit d'investissement,Informatique,€,95200.0,81600.0
2016,8,CFX,Crédit d'investissement,Informatique,€,122400.0,176800.0
2016,9,CFX,Crédit d'investissement,Informatique,€,108800.0,81600.0
2016,10,CFX,Crédit d'investissement,Informatique,€,122400.0,68000.0
2016,11,CFX,Crédit d'investissement,Informatique,€,136000.0,95200.0
2016,12,CFX,Crédit d'investissement,Informatique,€,176800.0,108800.0
2017,1,CFX,Crédit d'investissement,Informatique,€,136000.0,108800.0
2017,2,CFX,Crédit d'investissement,Informatique,€,108800.0,122400.0
2017,3,CFX,Crédit d'investissement,Informatique,€,95200.0,190400.0
2017,4,CFX,Crédit d'investissement,Informatique,€,81600.0,176800.0
2017,5,CFX,Crédit d'investissement,Informatique,€,68000.0,108800.0
2017,6,CFX,Crédit d'investissement,Informatique,€,108800.0,40800.0
2017,7,CFX,Crédit d'investissement,Informatique,€,95200.0,81600.0
2017,8,CFX,Crédit d'investissement,Informatique,€,122400.0,176800.0
2017,9,CFX,Crédit d'investissement,Informatique,€,108800.0,81600.0
2017,10,CFX,Crédit d'investissement,Informatique,€,122400.0,68000.0
2017,11,CFX,Crédit d'investissement,Informatique,€,136000.0,95200.0
2017,12,CFX,Crédit d'investissement,Informatique,€,176800.0,108800.0
2011,1,CFX,Crédit d'investissement,Travaux déconcentrés,€,1229500.0,983600.0
2011,2,CFX,Crédit d'investissement,Travaux déconcentrés,€,983600.0,1106550.0
