ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE
2012,,Dépenses,,,766 000 000,€
2012,,Recettes,,,767 000 000,€
2012,Dépenses d’exploitation,Charges relatives au personnel,390789635,42 346 578,433 136 213,€
2012,Dépenses d’exploitation,Charges relatives au personnel - Personnel médical,93 506 354,6 213 599,99 719 953,€
2012,Dépenses d’exploitation,Charges relatives au personnel - Personnel non médical,297 283 281,36 132 979,333 416 260,€
2012,Dépenses d’exploitation,Charges à caractère médical,166 477 859,6 333 901,172 811 760,€
2012,Dépenses d’exploitation,Charges à caractère hôtelier et général,81 952 572,13 603 116,95 555 688,€
2012,Dépenses d’exploitation,"Amortissements, provisions et autres charges",59 592 686,4 984 990,64 577 676,€
2012,Recettes,Produits de l’assurance maladie,581 696 089,43 854 206,625 550 295,€
2012,Recettes,"Produits de l’activité hospitalière (mutuelles, particuliers)",67 432 843,3 487 327,70 920 170,€
2012,Recettes,Recettes subsidiaires,62 391 404,8 318 600,70 710 004,€
2012,,Solde budgétaire,12 707 584,-11 608 452,1 099 132,€
2012,Crédits d’investissement,Travaux déconcentrés,17 070 000,5 470 000,22 540 000,€
2012,Crédits d’investissement,Équipements,2 500 000,400 000,2 900 000,€
2012,Crédits d’investissement,"Informatique, bureautique",290 000,50 000,340 000,€
2015,Dépenses d’exploitation,Charges relatives au personnel,430940000,42270000,473210000,€
2015,Dépenses d’exploitation,Charges relatives au personnel - Personnel médical,106.390000,6240000,112620000,€
2015,Dépenses d’exploitation,Charges relatives au personnel - Personnel non médical,322940000,35900000,358840000,€
2015,Dépenses d’exploitation,Charges à caractère médical,230.820000,8010000,238830000,€
2015,Dépenses d’exploitation,Charges à caractère hôtelier et général,92530000,13820000,106360000,€
2015,Dépenses d’exploitation,"Amortissements, provisions et autres charges",52840000,4460000,57290000,€
2015,Recettes,Assurance maladie,659980000,46140000,706120000,€
2015,Recettes,Mutuelles/Particuliers,77730000,4420000,82150000,€
2015,Recettes,Recettes subsidiaires,101950000,8340000,110300000,€
2015,Crédit d'investissement,Travaux déconcentrés,,,24590000,€
2015,Crédit d'investissement,Équipements,,,10430000,€
2015,Crédit d'investissement,Informatique,,,2720000,€
2016,,Budget total,,,887300000,€
2016,,Investissements,,,33100000,€
