year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise
2017,1,PLF,Crédit d'investissement,Informatique,€,136000.0,108800.0
2017,2,PLF,Crédit d'investissement,Informatique,€,108800.0,122400.0
2017,3,PLF,Crédit d'investissement,Informatique,€,95200.0,190400.0
2017,4,PLF,Crédit d'investissement,Informatique,€,81600.0,176800.0
2017,5,PLF,Crédit d'investissement,Informatique,€,68000.0,108800.0
2017,6,PLF,Crédit d'investissement,Informatique,€,108800.0,40800.0
2017,7,PLF,Crédit d'investissement,Informatique,€,95200.0,81600.0
2017,8,PLF,Crédit d'investissement,Informatique,€,122400.0,176800.0
2017,9,PLF,Crédit d'investissement,Informatique,€,108800.0,81600.0
2017,10,PLF,Crédit d'investissement,Informatique,€,122400.0,68000.0
2017,11,PLF,Crédit d'investissement,Informatique,€,136000.0,95200.0
2017,12,PLF,Crédit d'investissement,Informatique,€,176800.0,108800.0
2017,1,CFX,Crédit d'investissement,Informatique,€,136000.0,108800.0
2017,2,CFX,Crédit d'investissement,Informatique,€,108800.0,122400.0
2017,3,CFX,Crédit d'investissement,Informatique,€,95200.0,190400.0
2017,4,CFX,Crédit d'investissement,Informatique,€,81600.0,176800.0
2017,5,CFX,Crédit d'investissement,Informatique,€,68000.0,108800.0
2017,6,CFX,Crédit d'investissement,Informatique,€,108800.0,40800.0
2017,7,CFX,Crédit d'investissement,Informatique,€,95200.0,81600.0
2017,8,CFX,Crédit d'investissement,Informatique,€,122400.0,176800.0
2017,9,CFX,Crédit d'investissement,Informatique,€,108800.0,81600.0
2017,10,CFX,Crédit d'investissement,Informatique,€,122400.0,68000.0
2017,11,CFX,Crédit d'investissement,Informatique,€,136000.0,95200.0
2017,12,CFX,Crédit d'investissement,Informatique,€,176800.0,108800.0
2017,1,PLF,Crédit d'investissement,Travaux déconcentrés,€,1229500.0,983600.0
2017,2,PLF,Crédit d'investissement,Travaux déconcentrés,€,983600.0,1106550.0
2017,3,PLF,Crédit d'investissement,Travaux déconcentrés,€,860650.0,1721300.0
2017,4,PLF,Crédit d'investissement,Travaux déconcentrés,€,737700.0,1598350.0
2017,5,PLF,Crédit d'investissement,Travaux déconcentrés,€,614750.0,983600.0
2017,6,PLF,Crédit d'investissement,Travaux déconcentrés,€,983600.0,368850.0
2017,7,PLF,Crédit d'investissement,Travaux déconcentrés,€,860650.0,737700.0
