year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise
2017,1,PLF,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,19.26,28.4
2017,2,PLF,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,16.47,26.41
2017,3,PLF,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,13.28,21.54
2017,4,PLF,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,15.09,24.41
2017,5,PLF,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,15.2,23.04
2017,6,PLF,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,15.4,14.78
2017,7,PLF,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,13.29,12.78
2017,8,PLF,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,16.49,14.28
2017,9,PLF,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,17.1,19.55
2017,10,PLF,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,16.49,21.32
2017,11,PLF,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,15.29,23.01
2017,12,PLF,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,15.29,29.94
2017,1,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,2.0,2.0
2017,2,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0
2017,3,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0
2017,4,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0
2017,5,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0
2017,6,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0
2017,7,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0
2017,8,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0
2017,9,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0
2017,10,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0
2017,11,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0
2017,12,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0
2017,1,PLF,Les moyens humaines,"Praticiens attachés, internes, FFI",personnes,44.8,75.02
