year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise,type
2011,1,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,2.0,3.0,VOLATILE
2011,2,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2011,3,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2011,4,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2011,5,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2011,6,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0,VOLATILE
2011,7,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0,VOLATILE
2011,8,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0,VOLATILE
2011,9,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2011,10,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2011,11,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2011,12,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2012,1,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,2.0,2.0,VOLATILE
2012,2,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2012,3,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2012,4,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2012,5,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2012,6,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0,VOLATILE
2012,7,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0,VOLATILE
2012,8,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0,VOLATILE
2012,9,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2012,10,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2012,11,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2012,12,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2013,1,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,2.0,2.0,VOLATILE
2013,2,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2013,3,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2013,4,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2013,5,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2013,6,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0,VOLATILE
2013,7,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0,VOLATILE
2013,8,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,1.0,VOLATILE
2013,9,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
2013,10,CFX,Les moyens humaines,Personnels hospitalo-universitaires ,personnes,1.0,2.0,VOLATILE
