ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF_NORMAL,CFX_NORMAL,TOTAL_NORMAL,UNITE,MODE,PLF_CRISE,CFX_CRISE,TOTAL_CRISE,ECART_TOTAL,VARIATION_PCT
2011,Les moyens humaines,Personnels hospitalo-universitaires ,184.0,15.0,199.0,personnes,Normal,312.8,25.5,338.3,139.3,70.0
2012,Les moyens humaines,Personnels hospitalo-universitaires ,184.0,15.0,199.0,personnes,Normal,312.8,25.5,338.3,139.3,70.0
2013,Les moyens humaines,Personnels hospitalo-universitaires ,184.0,15.0,199.0,personnes,Normal,312.8,25.5,338.3,139.3,70.0
2011,Les moyens humaines,"Praticiens attachés, internes, FFI",235.0,24.0,259.0,personnes,Normal,399.5,40.8,440.3,181.3,70.0
2012,Les moyens humaines,"Praticiens attachés, internes, FFI",235.0,24.0,259.0,personnes,Normal,399.5,40.8,440.3,181.3,70.0
2013,Les moyens humaines,"Praticiens attachés, internes, FFI",298.0,23.67,321.67,personnes,Normal,506.6,40.24,546.84,225.17,70.0
2014,Les moyens humaines,"Praticiens attachés, internes, FFI",361.0,23.33,384.33,personnes,Normal,613.7,39.66,653.36,269.03,70.0
2015,Les moyens humaines,"Praticiens attachés, internes, FFI",424.0,23.0,447.0,personnes,Normal,720.8,39.1,759.9,312.9,70.0
2016,Les moyens humaines,"Praticiens attachés, internes, FFI",424.0,23.0,447.0,personnes,Normal,720.8,39.1,759.9,312.9,70.0
2011,Les moyens humaines,Praticiens contractuels,408.0,30.0,438.0,personnes,Normal,693.6,51.0,744.6,306.6,70.0
2012,Les moyens humaines,Praticiens contractuels,408.0,30.0,438.0,personnes,Normal,693.6,51.0,744.6,306.6,70.0
2013,Les moyens humaines,Praticiens contractuels,352.33,27.0,379.33,personnes,Normal,598.96,45.9,644.86,265.53,70.0
2014,Les moyens humaines,Praticiens contractuels,296.67,24.0,320.67,personnes,Normal,504.34,40.8,545.14,224.47,70.0
2015,Les moyens humaines,Praticiens contractuels,241.0,21.0,262.0,personnes,Normal,409.7,35.7,445.4,183.4,70.0
2016,Les moyens humaines,Praticiens contractuels,241.0,21.0,262.0,personnes,Normal,409.7,35.7,445.4,183.4,70.0
2011,Les moyens humaines,Total en ETP,1160.0,93.0,1253.0,personnes,Normal,1972.0,158.1,2130.1,877.1,70.0
2012,Les moyens humaines,Total en ETP,1160.0,93.0,1253.0,personnes,Normal,1972.0,158.1,2130.1,877.1,70.0
2013,Les moyens humaines,Total en ETP,1160.0,93.0,1253.0,personnes,Normal,1972.0,158.1,2130.1,877.1,70.0
2011,Les moyens humaines,Total médecins (effectif physique),1846.0,138.0,1984.0,personnes,Normal,3138.2,234.6,3372.8,1388.8,70.0
2012,Les moyens humaines,Total médecins (effectif physique),1846.0,138.0,1984.0,personnes,Normal,3138.2,234.6,3372.8,1388.8,70.0
2013,Les moyens humaines,Total médecins (effectif physique),1846.0,138.0,1984.0,personnes,Normal,3138.2,234.6,3372.8,1388.8,70.0
2011,Les moyens humaines,Total étudiants (hors ETP),530.0,110.0,640.0,personnes,Normal,901.0,187.0,1088.0,448.0,70.0
2012,Les moyens humaines,Total étudiants (hors ETP),530.0,110.0,640.0,personnes,Normal,901.0,187.0,1088.0,448.0,70.0
2013,Les moyens humaines,Total étudiants (hors ETP),530.0,110.0,640.0,personnes,Normal,901.0,187.0,1088.0,448.0,70.0
2011,Personnel non medical,Personnel administratif,687.0,68.0,755.0,personnes,Normal,1167.9,115.6,1283.5,528.5,70.0
2012,Personnel non medical,Personnel administratif,687.0,68.0,755.0,personnes,Normal,1167.9,115.6,1283.5,528.5,70.0
2013,Personnel non medical,Personnel administratif,687.0,68.0,755.0,personnes,Normal,1167.9,115.6,1283.5,528.5,70.0
2014,Personnel non medical,Personnel administratif,687.0,68.0,755.0,personnes,Normal,1167.9,115.6,1283.5,528.5,70.0
2015,Personnel non medical,Personnel administratif,687.0,68.0,755.0,personnes,Normal,1167.9,115.6,1283.5,528.5,70.0
2016,Personnel non medical,Personnel administratif,687.0,68.0,755.0,personnes,Normal,1167.9,115.6,1283.5,528.5,70.0
2011,Personnel non medical,Personnel hospitalier (soignant),5659.0,788.0,6447.0,personnes,Normal,9620.3,1339.6,10959.9,4512.9,70.0
2012,Personnel non medical,Personnel hospitalier (soignant),5659.0,788.0,6447.0,personnes,Normal,9620.3,1339.6,10959.9,4512.9,70.0
2013,Personnel non medical,Personnel hospitalier (soignant),5659.0,788.0,6447.0,personnes,Normal,9620.3,1339.6,10959.9,4512.9,70.0
2014,Personnel non medical,Personnel hospitalier (soignant),5659.0,788.0,6447.0,personnes,Normal,9620.3,1339.6,10959.9,4512.9,70.0
2015,Personnel non medical,Personnel hospitalier (soignant),5659.0,788.0,6447.0,personnes,Normal,9620.3,1339.6,10959.9,4512.9,70.0
2016,Personnel non medical,Personnel hospitalier (soignant),5659.0,788.0,6447.0,personnes,Normal,9620.3,1339.6,10959.9,4512.9,70.0
2011,Personnel non medical,Personnel socio-éducatif,113.0,12.0,125.0,personnes,Normal,192.1,20.4,212.5,87.5,70.0
