ANNEE,PLF_NORMAL,CFX_NORMAL,TOTAL_NORMAL,INDICATEUR,SOUS-INDICATEUR,MODE,PLF_CRISE,CFX_CRISE,TOTAL_CRISE,DELTA_TOTAL,DELTA_TOTAL_PCT,EVOLUTION
2012,333.57,27.5,361.07,Déchets,Cartons,Normal,366.927,30.250000000000004,397.177,36.10700000000003,10.000000000000007,↑
2013,346.38,29.333333333333332,375.7133333333333,Déchets,Cartons,Normal,381.01800000000003,32.266666666666666,413.2846666666667,37.57133333333337,10.00000000000001,↑
2014,359.19,31.166666666666668,390.3566666666667,Déchets,Cartons,Normal,395.10900000000004,34.28333333333334,429.3923333333334,39.035666666666714,10.000000000000012,↑
2015,372.0,33.0,405.0,Déchets,Cartons,Normal,409.20000000000005,36.300000000000004,445.50000000000006,40.50000000000006,10.000000000000014,↑
2016,372.0,33.0,405.0,Déchets,Cartons,Normal,409.20000000000005,36.300000000000004,445.50000000000006,40.50000000000006,10.000000000000014,↑
2015,130.0,1.99,131.99,Déchets,Chimiques,Normal,143.0,2.189,145.189,13.198999999999984,9.999999999999986,↑
2016,130.0,1.99,131.99,Déchets,Chimiques,Normal,143.0,2.189,145.189,13.198999999999984,9.999999999999986,↑
2012,1086.19,48.0,1134.19,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,Normal,1194.8090000000002,52.800000000000004,1247.6090000000002,113.4190000000001,10.000000000000007,↑
2013,1080.7933333333333,49.666666666666664,1130.46,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,Normal,1188.8726666666666,54.63333333333333,1243.506,113.04600000000005,10.000000000000004,↑
2014,1075.3966666666668,51.333333333333336,1126.73,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,Normal,1182.9363333333336,56.466666666666676,1239.4030000000002,112.67300000000023,10.00000000000002,↑
