ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF_NORMAL,CFX_NORMAL,TOTAL_NORMAL,UNITE,MODE,PLF_CRISE,CFX_CRISE,TOTAL_CRISE,ECART_TOTAL,VARIATION_PCT
2011,Déchets,Cartons,333.57,27.5,361.07,t,Normal,567.07,46.75,613.82,252.75,70.0
2012,Déchets,Cartons,333.57,27.5,361.07,t,Normal,567.07,46.75,613.82,252.75,70.0
2013,Déchets,Cartons,346.38,29.33,375.71,t,Normal,588.85,49.86,638.71,263.0,70.0
2014,Déchets,Cartons,359.19,31.17,390.36,t,Normal,610.62,52.99,663.61,273.25,70.0
2015,Déchets,Cartons,372.0,33.0,405.0,t,Normal,632.4,56.1,688.5,283.5,70.0
2016,Déchets,Cartons,372.0,33.0,405.0,t,Normal,632.4,56.1,688.5,283.5,70.0
2011,Déchets,Chimiques,130.0,1.99,131.99,t,Normal,221.0,3.38,224.38,92.39,70.0
2012,Déchets,Chimiques,130.0,1.99,131.99,t,Normal,221.0,3.38,224.38,92.39,70.0
2013,Déchets,Chimiques,130.0,1.99,131.99,t,Normal,221.0,3.38,224.38,92.39,70.0
2014,Déchets,Chimiques,130.0,1.99,131.99,t,Normal,221.0,3.38,224.38,92.39,70.0
2015,Déchets,Chimiques,130.0,1.99,131.99,t,Normal,221.0,3.38,224.38,92.39,70.0
2016,Déchets,Chimiques,130.0,1.99,131.99,t,Normal,221.0,3.38,224.38,92.39,70.0
2011,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,1086.19,48.0,1134.19,t,Normal,1846.52,81.6,1928.12,793.93,70.0
2012,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,1086.19,48.0,1134.19,t,Normal,1846.52,81.6,1928.12,793.93,70.0
2013,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,1080.79,49.67,1130.46,t,Normal,1837.34,84.44,1921.78,791.32,70.0
2014,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,1075.4,51.33,1126.73,t,Normal,1828.18,87.26,1915.44,788.71,70.0
2015,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,1070.0,53.0,1123.0,t,Normal,1819.0,90.1,1909.1,786.1,70.0
