ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE
2012,Déchets,Cartons,"333,57","27,50","361,07",t
2012,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,"1 086,19","48,00","1 134,19",t
2012,Déchets,Déchets assimilés aux ordures ménagères,"2 776,78","672,00","3 448,78",t
2012,Hygiène,Locaux,"234 500,00","41 517,00","276 017,00",m2
2012,Hygiène,Vitres,"66 300,00","18 679,00","84 979,00",m2
2012,Hygiène,Voirie,"9,00","400 000,00","400 009,00",km
2012,Lingerie,Quantité de linge,"1 352 332,00","183 536,00","1 535 868,00",kg
2012,Magasin,Références hôtelier,"481,00","258,00","739,00",références
2012,Magasin,Références hygiène & environnement ,"130,00","93,00","223,00",références
2012,Magasin,Références imprimés ,"141,00","85,00","226,00",références
2012,Restauration,Nombre de Repas,"3 238 399,00","1 273 338,00","4 511 737,00",repas
2012,Vaguemestre,Colis,"996,00","57,00","1 053,00",colis
2012,Vaguemestre,Plis affranchis,"1 237 150,00","42 716,00","1 279 866,00",plis
2015,Déchets,Cartons,"372,00","33,00","405,00",t
2015,Déchets,Chimiques,"130,00","1,99","131,99",t
2015,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,"1 070,00","53,00","1 123,00",t
2015,Déchets,Déchets d'Equipements Electriques et Electroniques (électriques),"50,00","3,63","53,63",t
2015,Déchets,Déchets Ménagers Assimilés/Déchets d'Activités Economiques (ménagers),"2 930,00","690,00","3 620,00",t
2015,Déchets,Papiers,"80,00","0,00","80,00",t
2015,Hygiène,Espaces verts,"75 601,00","71 413,00","147 014,00",m2
2015,Hygiène,Locaux,"282 483,00","43 667,00","326 150,00",m2/mois
2015,Hygiène,Vitres,"71 816,00","20 885,00","92 701,00",m2
2015,Hygiène,Voirie,"118 297,00","88 720,00","207 017,00",m2
2015,Lingerie,Quantité de linge,"892 835,00","174 510,00","1 067 345,00",kg
2015,Lingerie,Références gérées,"1 809 121,00","401 305,00","2 210 426,00",références
2015,Magasin,Références hôtelier,"560,00","166,00","726,00",références
2015,Magasin,Références hygiène & environnement ,"115,00","95,00","210,00",références
2015,Magasin,Références imprimés ,"133,00","77,00","210,00",références
2015,Restauration,Nombre de Repas,"1 999 447,00","1 221 924,00","3 221 371,00",repas
2015,Restauration,Nombre de Repas Quotidien,"5 478,00","3 348,00","8 826,00",repas/jour
2015,Vaguemestre,Colis,,,"1 385,00",colis
2015,Vaguemestre,Colis Quotidien,,,"4,00",colis/jour
2015,Vaguemestre,Plis affranchis,,,"1 265 741,00",plis
2015,Vaguemestre,Plis affranchis Quotidien,,,"3 468,00",plis/jour
