year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise
2011,1,CFX,Déchets,Cartons,t,4.1,3.29
2011,1,CFX,Déchets,Chimiques,t,0.31,0.19
2011,1,CFX,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,t,7.22,5.76
2011,1,CFX,Déchets,Déchets Ménagers Assimilés/Déchets d'Activités Economiques (ménagers),t,103.5,82.8
2011,1,CFX,Déchets,Déchets assimilés aux ordures ménagères,t,100.79,80.64
2011,1,CFX,Déchets,Déchets d'Equipements Electriques et Electroniques (électriques),t,0.53,0.47
2011,1,CFX,Déchets,Papiers,t,0.0,0.0
2011,1,CFX,Hygiène,Espaces verts,m2,10712.1,8569.6
2011,1,CFX,Hygiène,Locaux,m2,6227.5,4982.1
2011,1,CFX,Hygiène,Vitres,m2,2802.2,2241.5
2011,1,CFX,Hygiène,Voirie,km,59999.9,47999.9
2011,1,CFX,Lingerie,Quantité de linge,kg,27532.0,22024.0
2011,1,CFX,Lingerie,Références gérées,références,60197.0,48156.0
2011,1,CFX,Magasin,Références hygiène & environnement ,références,8.0,1.0
2011,1,CFX,Magasin,Références hôtelier,références,32.0,29.0
2011,1,CFX,Magasin,Références imprimés ,références,1.0,0.0
2011,1,CFX,Restauration,Nombre de Repas,repas,191001.0,152800.0
2011,1,CFX,Restauration,Nombre de Repas Quotidien,repas/jour,504.0,401.0
2011,1,CFX,Vaguemestre,Colis,colis,0.0,0.0
2011,1,CFX,Vaguemestre,Colis Quotidien,colis/jour,0.0,0.0
2011,1,CFX,Vaguemestre,Plis affranchis,plis,6407.0,5125.0
2011,1,CFX,Vaguemestre,Plis affranchis Quotidien,plis/jour,261.0,208.0
2011,1,PLF,Déchets,Cartons,t,50.02,40.04
2011,1,PLF,Déchets,Chimiques,t,19.48,15.6
2011,1,PLF,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,t,162.95,130.35
2011,1,PLF,Déchets,Déchets Ménagers Assimilés/Déchets d'Activités Economiques (ménagers),t,439.49,351.6
2011,1,PLF,Déchets,Déchets assimilés aux ordures ménagères,t,416.53,333.22
2011,1,PLF,Déchets,Déchets d'Equipements Electriques et Electroniques (électriques),t,7.5,6.0
2011,1,PLF,Déchets,Papiers,t,12.01,9.6
2011,1,PLF,Hygiène,Espaces verts,m2,11340.2,9072.1
2011,1,PLF,Hygiène,Locaux,m2,35175.1,28140.1
2011,1,PLF,Hygiène,Vitres,m2,9945.0,7956.0
2011,1,PLF,Hygiène,Voirie,km,0.5,0.1
2011,1,PLF,Lingerie,Quantité de linge,kg,202849.0,162280.0
2011,1,PLF,Lingerie,Références gérées,références,271371.0,217095.0
2011,1,PLF,Magasin,Références hygiène & environnement ,références,28.0,10.0
2011,1,PLF,Magasin,Références hôtelier,références,74.0,61.0
2011,1,PLF,Magasin,Références imprimés ,références,31.0,13.0
2011,1,PLF,Restauration,Nombre de Repas,repas,485760.0,388608.0
2011,1,PLF,Restauration,Nombre de Repas Quotidien,repas/jour,822.0,658.0
2011,1,PLF,Vaguemestre,Colis,colis,150.0,119.0
2011,1,PLF,Vaguemestre,Colis Quotidien,colis/jour,0.0,0.0
2011,1,PLF,Vaguemestre,Plis affranchis,plis,185572.0,148459.0
2011,1,PLF,Vaguemestre,Plis affranchis Quotidien,plis/jour,261.0,208.0
2011,2,CFX,Déchets,Cartons,t,2.75,2.2
2011,2,CFX,Déchets,Chimiques,t,0.28,0.12
2011,2,CFX,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,t,4.79,3.84
2011,2,CFX,Déchets,Déchets Ménagers Assimilés/Déchets d'Activités Economiques (ménagers),t,69.0,55.2
2011,2,CFX,Déchets,Déchets assimilés aux ordures ménagères,t,67.23,53.76
2011,2,CFX,Déchets,Déchets d'Equipements Electriques et Electroniques (électriques),t,0.28,0.32
2011,2,CFX,Déchets,Papiers,t,0.0,0.0
2011,2,CFX,Hygiène,Espaces verts,m2,7141.3,5713.1
2011,2,CFX,Hygiène,Locaux,m2,4151.6,3321.4
2011,2,CFX,Hygiène,Vitres,m2,1867.9,1494.3
2011,2,CFX,Hygiène,Voirie,km,39999.9,32000.0
2011,2,CFX,Lingerie,Quantité de linge,kg,18352.0,14683.0
2011,2,CFX,Lingerie,Références gérées,références,40132.0,32104.0
2011,2,CFX,Magasin,Références hygiène & environnement ,références,0.0,1.0
2011,2,CFX,Magasin,Références hôtelier,références,28.0,19.0
2011,2,CFX,Magasin,Références imprimés ,références,0.0,0.0
2011,2,CFX,Restauration,Nombre de Repas,repas,127334.0,101867.0
2011,2,CFX,Restauration,Nombre de Repas Quotidien,repas/jour,334.0,268.0
2011,2,CFX,Vaguemestre,Colis,colis,0.0,0.0
2011,2,CFX,Vaguemestre,Colis Quotidien,colis/jour,0.0,0.0
2011,2,CFX,Vaguemestre,Plis affranchis,plis,4270.0,3417.0
2011,2,CFX,Vaguemestre,Plis affranchis Quotidien,plis/jour,172.0,139.0
2011,2,PLF,Déchets,Cartons,t,33.37,26.69
2011,2,PLF,Déchets,Chimiques,t,13.02,10.4
2011,2,PLF,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,t,108.61,86.9
2011,2,PLF,Déchets,Déchets Ménagers Assimilés/Déchets d'Activités Economiques (ménagers),t,292.99,234.4
2011,2,PLF,Déchets,Déchets assimilés aux ordures ménagères,t,277.65,222.14
2011,2,PLF,Déchets,Déchets d'Equipements Electriques et Electroniques (électriques),t,4.98,4.0
2011,2,PLF,Déchets,Papiers,t,8.0,6.4
2011,2,PLF,Hygiène,Espaces verts,m2,7560.1,6048.1
2011,2,PLF,Hygiène,Locaux,m2,23450.1,18760.0
2011,2,PLF,Hygiène,Vitres,m2,6629.9,5304.0
2011,2,PLF,Hygiène,Voirie,km,0.0,0.0
2011,2,PLF,Lingerie,Quantité de linge,kg,135233.0,108187.0
2011,2,PLF,Lingerie,Références gérées,références,180911.0,144730.0
2011,2,PLF,Magasin,Références hygiène & environnement ,références,10.0,7.0
2011,2,PLF,Magasin,Références hôtelier,références,50.0,41.0
2011,2,PLF,Magasin,Références imprimés ,références,19.0,9.0
2011,2,PLF,Restauration,Nombre de Repas,repas,323841.0,259072.0
2011,2,PLF,Restauration,Nombre de Repas Quotidien,repas/jour,546.0,439.0
2011,2,PLF,Vaguemestre,Colis,colis,103.0,79.0
2011,2,PLF,Vaguemestre,Colis Quotidien,colis/jour,0.0,0.0
2011,2,PLF,Vaguemestre,Plis affranchis,plis,123715.0,98972.0
2011,2,PLF,Vaguemestre,Plis affranchis Quotidien,plis/jour,172.0,139.0
2011,3,CFX,Déchets,Cartons,t,1.9,3.57
2011,3,CFX,Déchets,Chimiques,t,0.04,0.2
2011,3,CFX,Déchets,Déchets Activités de Soins à Risques Infectieux et Assimilés,t,3.33,6.24
2011,3,CFX,Déchets,Déchets Ménagers Assimilés/Déchets d'Activités Economiques (ménagers),t,48.32,89.71
