year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise
2017,1,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,592.96,474.44
2017,2,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,395.04,276.96
2017,3,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,276.27,593.24
2017,4,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,237.9,711.9
2017,5,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,197.4,316.24
2017,6,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,238.05,157.96
2017,7,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,512.43,118.96
2017,8,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,514.74,118.96
2017,9,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,236.82,237.11
2017,10,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,198.45,395.44
2017,11,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,156.56,355.96
2017,12,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,395.91,197.96
2017,1,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,4029.5,3258.87
2017,2,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,2595.02,1794.6
2017,3,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,1730.68,4116.68
2017,4,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,1445.38,4974.22
2017,5,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,1156.67,2093.9
2017,6,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,1447.84,935.31
2017,7,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,3486.37,648.89
2017,8,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,3487.43,647.41
2017,9,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,1447.68,1514.53
2017,10,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,1159.17,2668.16
2017,11,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,868.44,2379.83
2017,12,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,2614.0,1225.35
2017,1,CFX,Origine géographique,Autres départements et DOM TOM,%,0.98,0.75
2017,2,CFX,Origine géographique,Autres départements et DOM TOM,%,0.65,0.43
2017,3,CFX,Origine géographique,Autres départements et DOM TOM,%,0.5,0.96
2017,4,CFX,Origine géographique,Autres départements et DOM TOM,%,0.37,1.16
2017,5,CFX,Origine géographique,Autres départements et DOM TOM,%,0.35,0.51
2017,6,CFX,Origine géographique,Autres départements et DOM TOM,%,0.34,0.25
2017,7,CFX,Origine géographique,Autres départements et DOM TOM,%,0.85,0.19
2017,8,CFX,Origine géographique,Autres départements et DOM TOM,%,0.85,0.19
2017,9,CFX,Origine géographique,Autres départements et DOM TOM,%,0.38,0.39
2017,10,CFX,Origine géographique,Autres départements et DOM TOM,%,0.35,0.66
2017,11,CFX,Origine géographique,Autres départements et DOM TOM,%,0.34,0.59
2017,12,CFX,Origine géographique,Autres départements et DOM TOM,%,0.64,0.33
2017,1,CFX,Origine géographique,Province - MCO,%,0.88,0.72
2017,2,CFX,Origine géographique,Province - MCO,%,0.59,0.43
2017,3,CFX,Origine géographique,Province - MCO,%,0.4,0.9
2017,4,CFX,Origine géographique,Province - MCO,%,0.32,1.07
2017,5,CFX,Origine géographique,Province - MCO,%,0.33,0.49
2017,6,CFX,Origine géographique,Province - MCO,%,0.33,0.25
2017,7,CFX,Origine géographique,Province - MCO,%,0.82,0.2
2017,8,CFX,Origine géographique,Province - MCO,%,0.82,0.2
