year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise
2011,1,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,592.0,475.0
2011,2,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,395.0,277.0
2011,3,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,277.0,593.0
2011,4,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,238.0,712.0
2011,5,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,199.0,316.0
2011,6,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,237.0,158.0
2011,7,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,512.0,119.0
2011,8,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,515.0,119.0
2011,9,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,239.0,237.0
2011,10,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,198.0,396.0
2011,11,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,156.0,356.0
2011,12,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,398.0,198.0
2012,1,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,592.0,475.0
2012,2,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,399.0,277.0
2012,3,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,274.0,594.0
2012,4,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,239.0,712.0
2012,5,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,196.0,317.0
2012,6,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,238.0,158.0
2012,7,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,513.0,119.0
2012,8,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,514.0,119.0
2012,9,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,239.0,237.0
2012,10,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,198.0,396.0
2012,11,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,158.0,356.0
2012,12,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,398.0,198.0
2013,1,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,594.0,475.0
2013,2,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,393.0,277.0
2013,3,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,274.0,594.0
2013,4,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,239.0,713.0
2013,5,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,199.0,317.0
2013,6,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,238.0,158.0
2013,7,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,514.0,119.0
2013,8,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,515.0,119.0
2013,9,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,240.0,238.0
2013,10,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,201.0,396.0
2013,11,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,157.0,356.0
2013,12,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,397.0,198.0
2014,1,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,594.0,474.0
2014,2,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,394.0,277.0
2014,3,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,273.0,593.0
2014,4,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,238.0,711.0
2014,5,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,197.0,316.0
2014,6,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,237.0,158.0
2014,7,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,514.0,119.0
2014,8,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,514.0,119.0
2014,9,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,238.0,237.0
2014,10,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,200.0,395.0
2014,11,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,157.0,356.0
2014,12,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,396.0,198.0
2015,1,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,593.0,474.0
2015,2,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,396.0,277.0
2015,3,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,275.0,593.0
2015,4,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,238.0,712.0
2015,5,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,195.0,316.0
2015,6,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,239.0,158.0
2015,7,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,513.0,119.0
2015,8,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,515.0,119.0
2015,9,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,238.0,237.0
2015,10,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,199.0,395.0
2015,11,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,156.0,356.0
2015,12,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,396.0,198.0
2016,1,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,593.0,475.0
2016,2,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,395.0,277.0
2016,3,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,278.0,593.0
2016,4,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,238.0,712.0
2016,5,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,199.0,316.0
2016,6,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,238.0,158.0
2016,7,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,512.0,119.0
2016,8,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,515.0,119.0
2016,9,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,236.0,237.0
2016,10,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,198.0,396.0
2016,11,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,157.0,356.0
2016,12,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,396.0,198.0
2017,1,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,592.96,474.44
2017,2,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,395.04,276.96
2017,3,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,276.27,593.24
2017,4,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,237.9,711.9
2017,5,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,197.4,316.24
2017,6,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,238.05,157.96
2017,7,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,512.43,118.96
2017,8,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,514.74,118.96
2017,9,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,236.82,237.11
2017,10,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,198.45,395.44
2017,11,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,156.56,355.96
2017,12,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,patients,395.91,197.96
2011,1,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,833.0,665.0
2011,2,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,554.0,388.0
2011,3,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,388.0,831.0
2011,4,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,334.0,997.0
2011,5,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,278.0,443.0
2011,6,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,331.0,222.0
2011,7,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,720.0,166.0
2011,8,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,719.0,166.0
2011,9,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,332.0,332.0
2011,10,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,276.0,554.0
2011,11,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,222.0,499.0
2011,12,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,554.0,277.0
2012,1,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,830.0,664.0
2012,2,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,556.0,387.0
2012,3,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,385.0,830.0
2012,4,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,333.0,996.0
2012,5,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,278.0,443.0
2012,6,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,331.0,221.0
2012,7,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,720.0,166.0
2012,8,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,720.0,166.0
2012,9,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,333.0,332.0
2012,10,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,274.0,554.0
2012,11,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,221.0,498.0
2012,12,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,554.0,277.0
2013,1,CFX,Causes d'hopitalisations,Pathologies cancéreuses - Total,patients,2027.0,1623.0
