ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE
2011,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,3956.0,3956.0,7912.0,patients
2012,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,3956.0,3956.0,7912.0,patients
2013,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,3956.0,3956.0,7912.0,patients
2014,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,3956.0,3956.0,7912.0,patients
2015,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,3956.0,3956.0,7912.0,patients
2016,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,3956.0,3956.0,7912.0,patients
2011,Causes d'hopitalisations,Pathologies cancéreuses - Sejours,29508.5,29508.5,59017.0,sejours
2012,Causes d'hopitalisations,Pathologies cancéreuses - Sejours,29508.5,29508.5,59017.0,sejours
2013,Causes d'hopitalisations,Pathologies cancéreuses - Sejours,29508.5,29508.5,59017.0,sejours
2014,Causes d'hopitalisations,Pathologies cancéreuses - Sejours,29508.5,29508.5,59017.0,sejours
2015,Causes d'hopitalisations,Pathologies cancéreuses - Sejours,29508.5,29508.5,59017.0,sejours
2016,Causes d'hopitalisations,Pathologies cancéreuses - Sejours,29508.5,29508.5,59017.0,sejours
2011,Causes d'hopitalisations,Pathologies cancéreuses - Total,5537.5,5537.5,11075.0,patients
2012,Causes d'hopitalisations,Pathologies cancéreuses - Total,5537.5,5537.5,11075.0,patients
2013,Causes d'hopitalisations,Pathologies cancéreuses - Total,5537.5,5537.5,11075.0,patients
2014,Causes d'hopitalisations,Pathologies cancéreuses - Total,5537.5,5537.5,11075.0,patients
2015,Causes d'hopitalisations,Pathologies cancéreuses - Total,5537.5,5537.5,11075.0,patients
2016,Causes d'hopitalisations,Pathologies cancéreuses - Total,5537.5,5537.5,11075.0,patients
2011,Origine géographique,Autres départements et DOM TOM - MCO,6.5,6.5,13.0,%
2012,Origine géographique,Autres départements et DOM TOM - MCO,6.5,6.5,13.0,%
2013,Origine géographique,Autres départements et DOM TOM - MCO,6.5,6.5,13.0,%
2014,Origine géographique,Autres départements et DOM TOM - MCO,6.5,6.5,13.0,%
2015,Origine géographique,Autres départements et DOM TOM - MCO,6.5,6.5,13.0,%
2016,Origine géographique,Autres départements et DOM TOM - MCO,6.5,6.5,13.0,%
2011,Origine géographique,Autres départements et DOM TOM - SSR,1.5,1.5,3.0,%
2012,Origine géographique,Autres départements et DOM TOM - SSR,1.5,1.5,3.0,%
2013,Origine géographique,Autres départements et DOM TOM - SSR,1.5,1.5,3.0,%
2014,Origine géographique,Autres départements et DOM TOM - SSR,1.5,1.5,3.0,%
2015,Origine géographique,Autres départements et DOM TOM - SSR,1.5,1.5,3.0,%
2016,Origine géographique,Autres départements et DOM TOM - SSR,1.5,1.5,3.0,%
2011,Origine géographique,DOM TOM - MCO,0.52,0.52,1.03,%
2012,Origine géographique,DOM TOM - MCO,0.52,0.52,1.03,%
2013,Origine géographique,DOM TOM - MCO,0.52,0.52,1.03,%
2011,Origine géographique,DOM TOM - SSR,0.02,0.02,0.04,%
2012,Origine géographique,DOM TOM - SSR,0.02,0.02,0.04,%
2013,Origine géographique,DOM TOM - SSR,0.02,0.02,0.04,%
2011,Origine géographique,Province - MCO,5.88,5.88,11.77,%
2012,Origine géographique,Province - MCO,5.88,5.88,11.77,%
2013,Origine géographique,Province - MCO,5.88,5.88,11.77,%
2011,Origine géographique,Province - SSR,1.72,1.72,3.43,%
2012,Origine géographique,Province - SSR,1.72,1.72,3.43,%
2013,Origine géographique,Province - SSR,1.72,1.72,3.43,%
2011,Origine géographique,Val-de-Marne - MCO,7.14,7.14,14.28,%
2012,Origine géographique,Val-de-Marne - MCO,7.14,7.14,14.28,%
2013,Origine géographique,Val-de-Marne - MCO,7.14,7.14,14.28,%
2011,Origine géographique,Val-de-Marne - SSR,15.29,15.29,30.58,%
2012,Origine géographique,Val-de-Marne - SSR,15.29,15.29,30.58,%
2013,Origine géographique,Val-de-Marne - SSR,15.29,15.29,30.58,%
2011,Origine géographique,Étranger  - MCO,0.18,0.18,0.36,%
2012,Origine géographique,Étranger  - MCO,0.18,0.18,0.36,%
2013,Origine géographique,Étranger  - MCO,0.29,0.29,0.57,%
2014,Origine géographique,Étranger  - MCO,0.39,0.39,0.79,%
2015,Origine géographique,Étranger  - MCO,0.5,0.5,1.0,%
2016,Origine géographique,Étranger  - MCO,0.5,0.5,1.0,%
2011,Origine géographique,Étranger - SSR,0.08,0.08,0.17,%
2012,Origine géographique,Étranger - SSR,0.08,0.08,0.17,%
2013,Origine géographique,Étranger - SSR,0.22,0.22,0.45,%
2014,Origine géographique,Étranger - SSR,0.36,0.36,0.72,%
2015,Origine géographique,Étranger - SSR,0.5,0.5,1.0,%
2016,Origine géographique,Étranger - SSR,0.5,0.5,1.0,%
2011,Origine géographique,Île-de-France -  Hauts-de-Seine - MCO,3.7,3.7,7.41,%
2012,Origine géographique,Île-de-France -  Hauts-de-Seine - MCO,3.7,3.7,7.41,%
