ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF_NORMAL,CFX_NORMAL,TOTAL_NORMAL,UNITE,MODE,PLF_CRISE,CFX_CRISE,TOTAL_CRISE,ECART_TOTAL,VARIATION_PCT
2011,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,3956.0,3956.0,7912.0,patients,Normal,7120.8,7120.8,14241.6,6329.6,80.0
2012,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,3956.0,3956.0,7912.0,patients,Normal,7120.8,7120.8,14241.6,6329.6,80.0
2013,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,3956.0,3956.0,7912.0,patients,Normal,7120.8,7120.8,14241.6,6329.6,80.0
2014,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,3956.0,3956.0,7912.0,patients,Normal,7120.8,7120.8,14241.6,6329.6,80.0
2015,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,3956.0,3956.0,7912.0,patients,Normal,7120.8,7120.8,14241.6,6329.6,80.0
2016,Causes d'hopitalisations,Pathologies cancéreuses - Nouveaux,3956.0,3956.0,7912.0,patients,Normal,7120.8,7120.8,14241.6,6329.6,80.0
2011,Causes d'hopitalisations,Pathologies cancéreuses - Sejours,29508.5,29508.5,59017.0,sejours,Normal,53115.3,53115.3,106230.6,47213.6,80.0
2012,Causes d'hopitalisations,Pathologies cancéreuses - Sejours,29508.5,29508.5,59017.0,sejours,Normal,53115.3,53115.3,106230.6,47213.6,80.0
2013,Causes d'hopitalisations,Pathologies cancéreuses - Sejours,29508.5,29508.5,59017.0,sejours,Normal,53115.3,53115.3,106230.6,47213.6,80.0
2014,Causes d'hopitalisations,Pathologies cancéreuses - Sejours,29508.5,29508.5,59017.0,sejours,Normal,53115.3,53115.3,106230.6,47213.6,80.0
2015,Causes d'hopitalisations,Pathologies cancéreuses - Sejours,29508.5,29508.5,59017.0,sejours,Normal,53115.3,53115.3,106230.6,47213.6,80.0
2016,Causes d'hopitalisations,Pathologies cancéreuses - Sejours,29508.5,29508.5,59017.0,sejours,Normal,53115.3,53115.3,106230.6,47213.6,80.0
2011,Causes d'hopitalisations,Pathologies cancéreuses - Total,5537.5,5537.5,11075.0,patients,Normal,9967.5,9967.5,19935.0,8860.0,80.0
2012,Causes d'hopitalisations,Pathologies cancéreuses - Total,5537.5,5537.5,11075.0,patients,Normal,9967.5,9967.5,19935.0,8860.0,80.0
2013,Causes d'hopitalisations,Pathologies cancéreuses - Total,5537.5,5537.5,11075.0,patients,Normal,9967.5,9967.5,19935.0,8860.0,80.0
2014,Causes d'hopitalisations,Pathologies cancéreuses - Total,5537.5,5537.5,11075.0,patients,Normal,9967.5,9967.5,19935.0,8860.0,80.0
2015,Causes d'hopitalisations,Pathologies cancéreuses - Total,5537.5,5537.5,11075.0,patients,Normal,9967.5,9967.5,19935.0,8860.0,80.0
2016,Causes d'hopitalisations,Pathologies cancéreuses - Total,5537.5,5537.5,11075.0,patients,Normal,9967.5,9967.5,19935.0,8860.0,80.0
2011,Origine géographique,Autres départements et DOM TOM - MCO,6.5,6.5,13.0,%,Normal,11.7,11.7,23.4,10.4,80.0
2012,Origine géographique,Autres départements et DOM TOM - MCO,6.5,6.5,13.0,%,Normal,11.7,11.7,23.4,10.4,80.0
2013,Origine géographique,Autres départements et DOM TOM - MCO,6.5,6.5,13.0,%,Normal,11.7,11.7,23.4,10.4,80.0
2014,Origine géographique,Autres départements et DOM TOM - MCO,6.5,6.5,13.0,%,Normal,11.7,11.7,23.4,10.4,80.0
2015,Origine géographique,Autres départements et DOM TOM - MCO,6.5,6.5,13.0,%,Normal,11.7,11.7,23.4,10.4,80.0
2016,Origine géographique,Autres départements et DOM TOM - MCO,6.5,6.5,13.0,%,Normal,11.7,11.7,23.4,10.4,80.0
2011,Origine géographique,Autres départements et DOM TOM - SSR,1.5,1.5,3.0,%,Normal,2.7,2.7,5.4,2.4,80.0
2012,Origine géographique,Autres départements et DOM TOM - SSR,1.5,1.5,3.0,%,Normal,2.7,2.7,5.4,2.4,80.0
2013,Origine géographique,Autres départements et DOM TOM - SSR,1.5,1.5,3.0,%,Normal,2.7,2.7,5.4,2.4,80.0
2014,Origine géographique,Autres départements et DOM TOM - SSR,1.5,1.5,3.0,%,Normal,2.7,2.7,5.4,2.4,80.0
2015,Origine géographique,Autres départements et DOM TOM - SSR,1.5,1.5,3.0,%,Normal,2.7,2.7,5.4,2.4,80.0
2016,Origine géographique,Autres départements et DOM TOM - SSR,1.5,1.5,3.0,%,Normal,2.7,2.7,5.4,2.4,80.0
2011,Origine géographique,DOM TOM - MCO,0.52,0.52,1.03,%,Normal,0.94,0.94,1.88,0.85,82.52
2012,Origine géographique,DOM TOM - MCO,0.52,0.52,1.03,%,Normal,0.94,0.94,1.88,0.85,82.52
2013,Origine géographique,DOM TOM - MCO,0.52,0.52,1.03,%,Normal,0.94,0.94,1.88,0.85,82.52
2011,Origine géographique,DOM TOM - SSR,0.02,0.02,0.04,%,Normal,0.04,0.04,0.08,0.04,100.0
2012,Origine géographique,DOM TOM - SSR,0.02,0.02,0.04,%,Normal,0.04,0.04,0.08,0.04,100.0
2013,Origine géographique,DOM TOM - SSR,0.02,0.02,0.04,%,Normal,0.04,0.04,0.08,0.04,100.0
2011,Origine géographique,Province - MCO,5.88,5.88,11.77,%,Normal,10.58,10.58,21.16,9.39,79.78
2012,Origine géographique,Province - MCO,5.88,5.88,11.77,%,Normal,10.58,10.58,21.16,9.39,79.78
