year,month,site_code,indicateur,sous_indicateur,unite,value,value_crise
2017,1,PLF,Confort et propreté de la chambre,Bon,%,1.85,1.34
2017,2,PLF,Confort et propreté de la chambre,Bon,%,1.75,1.46
2017,3,PLF,Confort et propreté de la chambre,Bon,%,1.65,1.57
2017,4,PLF,Confort et propreté de la chambre,Bon,%,1.75,1.79
2017,5,PLF,Confort et propreté de la chambre,Bon,%,1.75,2.02
2017,6,PLF,Confort et propreté de la chambre,Bon,%,1.75,2.13
2017,7,PLF,Confort et propreté de la chambre,Bon,%,1.65,1.57
2017,8,PLF,Confort et propreté de la chambre,Bon,%,1.65,1.68
2017,9,PLF,Confort et propreté de la chambre,Bon,%,1.65,2.13
2017,10,PLF,Confort et propreté de la chambre,Bon,%,1.65,1.68
2017,11,PLF,Confort et propreté de la chambre,Bon,%,1.75,1.57
2017,12,PLF,Confort et propreté de la chambre,Bon,%,1.75,1.68
2017,1,CFX,Confort et propreté de la chambre,Bon,%,1.85,1.34
2017,2,CFX,Confort et propreté de la chambre,Bon,%,1.75,1.46
2017,3,CFX,Confort et propreté de la chambre,Bon,%,1.65,1.57
2017,4,CFX,Confort et propreté de la chambre,Bon,%,1.75,1.79
2017,5,CFX,Confort et propreté de la chambre,Bon,%,1.75,2.02
2017,6,CFX,Confort et propreté de la chambre,Bon,%,1.75,2.13
2017,7,CFX,Confort et propreté de la chambre,Bon,%,1.65,1.57
2017,8,CFX,Confort et propreté de la chambre,Bon,%,1.65,1.68
2017,9,CFX,Confort et propreté de la chambre,Bon,%,1.65,2.13
2017,10,CFX,Confort et propreté de la chambre,Bon,%,1.65,1.68
2017,11,CFX,Confort et propreté de la chambre,Bon,%,1.75,1.57
2017,12,CFX,Confort et propreté de la chambre,Bon,%,1.75,1.68
2017,1,PLF,Confort et propreté de la chambre,Excellent,%,0.79,0.57
2017,2,PLF,Confort et propreté de la chambre,Excellent,%,0.74,0.62
2017,3,PLF,Confort et propreté de la chambre,Excellent,%,0.7,0.67
2017,4,PLF,Confort et propreté de la chambre,Excellent,%,0.74,0.76
2017,5,PLF,Confort et propreté de la chambre,Excellent,%,0.74,0.86
2017,6,PLF,Confort et propreté de la chambre,Excellent,%,0.74,0.9
2017,7,PLF,Confort et propreté de la chambre,Excellent,%,0.7,0.67
2017,8,PLF,Confort et propreté de la chambre,Excellent,%,0.7,0.71
2017,9,PLF,Confort et propreté de la chambre,Excellent,%,0.7,0.9
2017,10,PLF,Confort et propreté de la chambre,Excellent,%,0.7,0.71
2017,11,PLF,Confort et propreté de la chambre,Excellent,%,0.74,0.67
2017,12,PLF,Confort et propreté de la chambre,Excellent,%,0.74,0.71
2017,1,CFX,Confort et propreté de la chambre,Excellent,%,0.79,0.57
2017,2,CFX,Confort et propreté de la chambre,Excellent,%,0.74,0.62
2017,3,CFX,Confort et propreté de la chambre,Excellent,%,0.7,0.67
2017,4,CFX,Confort et propreté de la chambre,Excellent,%,0.74,0.76
2017,5,CFX,Confort et propreté de la chambre,Excellent,%,0.74,0.86
2017,6,CFX,Confort et propreté de la chambre,Excellent,%,0.74,0.9
2017,7,CFX,Confort et propreté de la chambre,Excellent,%,0.7,0.67
2017,8,CFX,Confort et propreté de la chambre,Excellent,%,0.7,0.71
2017,9,CFX,Confort et propreté de la chambre,Excellent,%,0.7,0.9
2017,10,CFX,Confort et propreté de la chambre,Excellent,%,0.7,0.71
2017,11,CFX,Confort et propreté de la chambre,Excellent,%,0.74,0.67
2017,12,CFX,Confort et propreté de la chambre,Excellent,%,0.74,0.71
2017,1,PLF,Confort et propreté de la chambre,Mauvais,%,0.39,0.29
2017,2,PLF,Confort et propreté de la chambre,Mauvais,%,0.37,0.31
2017,3,PLF,Confort et propreté de la chambre,Mauvais,%,0.35,0.33
2017,4,PLF,Confort et propreté de la chambre,Mauvais,%,0.37,0.38
2017,5,PLF,Confort et propreté de la chambre,Mauvais,%,0.37,0.43
2017,6,PLF,Confort et propreté de la chambre,Mauvais,%,0.37,0.45
2017,7,PLF,Confort et propreté de la chambre,Mauvais,%,0.35,0.33
2017,8,PLF,Confort et propreté de la chambre,Mauvais,%,0.35,0.36
2017,9,PLF,Confort et propreté de la chambre,Mauvais,%,0.35,0.45
2017,10,PLF,Confort et propreté de la chambre,Mauvais,%,0.35,0.36
2017,11,PLF,Confort et propreté de la chambre,Mauvais,%,0.37,0.33
2017,12,PLF,Confort et propreté de la chambre,Mauvais,%,0.37,0.36
2017,1,CFX,Confort et propreté de la chambre,Mauvais,%,0.39,0.29
2017,2,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,0.31
2017,3,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,0.33
2017,4,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,0.38
2017,5,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,0.43
2017,6,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,0.45
2017,7,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,0.33
2017,8,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,0.36
2017,9,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,0.45
2017,10,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,0.36
2017,11,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,0.33
2017,12,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,0.36
2017,1,PLF,Confort et propreté de la chambre,Tres bon ,%,1.33,0.93
2017,2,PLF,Confort et propreté de la chambre,Tres bon ,%,1.26,1.16
2017,3,PLF,Confort et propreté de la chambre,Tres bon ,%,1.21,1.09
2017,4,PLF,Confort et propreté de la chambre,Tres bon ,%,1.26,1.25
2017,5,PLF,Confort et propreté de la chambre,Tres bon ,%,1.26,1.46
2017,6,PLF,Confort et propreté de la chambre,Tres bon ,%,1.29,1.57
2017,7,PLF,Confort et propreté de la chambre,Tres bon ,%,1.22,1.16
2017,8,PLF,Confort et propreté de la chambre,Tres bon ,%,1.23,1.16
2017,9,PLF,Confort et propreté de la chambre,Tres bon ,%,1.2,1.6
2017,10,PLF,Confort et propreté de la chambre,Tres bon ,%,1.21,1.08
2017,11,PLF,Confort et propreté de la chambre,Tres bon ,%,1.26,1.26
2017,12,PLF,Confort et propreté de la chambre,Tres bon ,%,1.3,1.21
2017,1,CFX,Confort et propreté de la chambre,Tres bon ,%,1.33,0.93
