year,month,site_code,indicateur,sous_indicateur,unite,value,type,value_crise
2011,1,CFX,Confort et propreté de la chambre,Bon,%,1.85,VOLATILE,1.34
2011,2,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,1.46
2011,3,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,1.57
2011,4,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,1.79
2011,5,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,2.02
2011,6,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,2.13
2011,7,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,1.57
2011,8,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,1.68
2011,9,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,2.13
2011,10,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,1.68
2011,11,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,1.57
2011,12,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,1.68
2012,1,CFX,Confort et propreté de la chambre,Bon,%,1.85,VOLATILE,1.34
2012,2,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,1.46
2012,3,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,1.57
2012,4,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,1.79
2012,5,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,2.02
2012,6,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,2.13
2012,7,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,1.57
2012,8,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,1.68
2012,9,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,2.13
2012,10,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,1.68
2012,11,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,1.57
2012,12,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,1.68
2013,1,CFX,Confort et propreté de la chambre,Bon,%,1.85,VOLATILE,1.34
2013,2,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,1.46
2013,3,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,1.57
2013,4,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,1.79
2013,5,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,2.02
2013,6,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,2.13
2013,7,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,1.57
2013,8,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,1.68
2013,9,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,2.13
2013,10,CFX,Confort et propreté de la chambre,Bon,%,1.65,VOLATILE,1.68
2013,11,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,1.57
2013,12,CFX,Confort et propreté de la chambre,Bon,%,1.75,VOLATILE,1.68
2017,1,CFX,Confort et propreté de la chambre,Bon,%,1.85,,1.34
2017,2,CFX,Confort et propreté de la chambre,Bon,%,1.75,,1.46
2017,3,CFX,Confort et propreté de la chambre,Bon,%,1.65,,1.57
2017,4,CFX,Confort et propreté de la chambre,Bon,%,1.75,,1.79
2017,5,CFX,Confort et propreté de la chambre,Bon,%,1.75,,2.02
2017,6,CFX,Confort et propreté de la chambre,Bon,%,1.75,,2.13
2017,7,CFX,Confort et propreté de la chambre,Bon,%,1.65,,1.57
2017,8,CFX,Confort et propreté de la chambre,Bon,%,1.65,,1.68
2017,9,CFX,Confort et propreté de la chambre,Bon,%,1.65,,2.13
2017,10,CFX,Confort et propreté de la chambre,Bon,%,1.65,,1.68
2017,11,CFX,Confort et propreté de la chambre,Bon,%,1.75,,1.57
2017,12,CFX,Confort et propreté de la chambre,Bon,%,1.75,,1.68
2011,1,CFX,Confort et propreté de la chambre,Excellent,%,0.79,VOLATILE,0.57
2011,2,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.62
2011,3,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.67
2011,4,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.76
2011,5,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.86
2011,6,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.9
2011,7,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.67
2011,8,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.71
2011,9,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.9
2011,10,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.71
2011,11,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.67
2011,12,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.71
2012,1,CFX,Confort et propreté de la chambre,Excellent,%,0.79,VOLATILE,0.57
2012,2,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.62
2012,3,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.67
2012,4,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.76
2012,5,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.86
2012,6,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.9
2012,7,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.67
2012,8,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.71
2012,9,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.9
2012,10,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.71
2012,11,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.67
2012,12,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.71
2013,1,CFX,Confort et propreté de la chambre,Excellent,%,0.79,VOLATILE,0.57
2013,2,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.62
2013,3,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.67
2013,4,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.76
2013,5,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.86
2013,6,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.9
2013,7,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.67
2013,8,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.71
2013,9,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.9
2013,10,CFX,Confort et propreté de la chambre,Excellent,%,0.7,VOLATILE,0.71
2013,11,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.67
2013,12,CFX,Confort et propreté de la chambre,Excellent,%,0.74,VOLATILE,0.71
2017,1,CFX,Confort et propreté de la chambre,Excellent,%,0.79,,0.57
2017,2,CFX,Confort et propreté de la chambre,Excellent,%,0.74,,0.62
2017,3,CFX,Confort et propreté de la chambre,Excellent,%,0.7,,0.67
2017,4,CFX,Confort et propreté de la chambre,Excellent,%,0.74,,0.76
2017,5,CFX,Confort et propreté de la chambre,Excellent,%,0.74,,0.86
2017,6,CFX,Confort et propreté de la chambre,Excellent,%,0.74,,0.9
2017,7,CFX,Confort et propreté de la chambre,Excellent,%,0.7,,0.67
2017,8,CFX,Confort et propreté de la chambre,Excellent,%,0.7,,0.71
2017,9,CFX,Confort et propreté de la chambre,Excellent,%,0.7,,0.9
2017,10,CFX,Confort et propreté de la chambre,Excellent,%,0.7,,0.71
2017,11,CFX,Confort et propreté de la chambre,Excellent,%,0.74,,0.67
2017,12,CFX,Confort et propreté de la chambre,Excellent,%,0.74,,0.71
2011,1,CFX,Confort et propreté de la chambre,Mauvais,%,0.39,VOLATILE,0.29
2011,2,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.31
2011,3,CFX,Confort et propreté de la chambre,Mauvais,%,0.35,VOLATILE,0.33
2011,4,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.38
2011,5,CFX,Confort et propreté de la chambre,Mauvais,%,0.37,VOLATILE,0.43
