ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE
2011,Confort et propreté de la chambre,Bon,20.6,20.6,41.2,%
2012,Confort et propreté de la chambre,Bon,20.6,20.6,41.2,%
2013,Confort et propreté de la chambre,Bon,20.6,20.6,41.2,%
2011,Confort et propreté de la chambre,Excellent,8.75,8.75,17.5,%
2012,Confort et propreté de la chambre,Excellent,8.75,8.75,17.5,%
2013,Confort et propreté de la chambre,Excellent,8.75,8.75,17.5,%
2011,Confort et propreté de la chambre,Mauvais,4.38,4.38,8.75,%
2012,Confort et propreté de la chambre,Mauvais,4.38,4.38,8.75,%
2013,Confort et propreté de la chambre,Mauvais,4.38,4.38,8.75,%
2011,Confort et propreté de la chambre,Tres bon ,15.0,15.0,30.0,%
2012,Confort et propreté de la chambre,Tres bon ,15.0,15.0,30.0,%
2013,Confort et propreté de la chambre,Tres bon ,15.0,15.0,30.0,%
2011,Confort et propreté de la chambre,Très mauvais,1.25,1.25,2.5,%
2012,Confort et propreté de la chambre,Très mauvais,1.25,1.25,2.5,%
2013,Confort et propreté de la chambre,Très mauvais,1.25,1.25,2.5,%
2011,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,94.0,94.0,188.0,
2012,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,94.0,94.0,188.0,
2013,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,94.0,94.0,188.0,
2014,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,94.0,94.0,188.0,
2015,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,94.0,94.0,188.0,
2016,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Date et heure de survenue de l'AVC,94.0,94.0,188.0,
2011,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Evaluation par un rééducateur,73.0,73.0,146.0,
2012,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Evaluation par un rééducateur,73.0,73.0,146.0,
2013,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Evaluation par un rééducateur,73.0,73.0,146.0,
2014,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Evaluation par un rééducateur,73.0,73.0,146.0,
2015,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Evaluation par un rééducateur,73.0,73.0,146.0,
2016,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Evaluation par un rééducateur,73.0,73.0,146.0,
2011,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Tenue du dossier médical,89.0,89.0,178.0,
2012,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Tenue du dossier médical,89.0,89.0,178.0,
2013,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Tenue du dossier médical,89.0,89.0,178.0,
2014,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Tenue du dossier médical,89.0,89.0,178.0,
2015,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Tenue du dossier médical,89.0,89.0,178.0,
2016,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Accident Vasculaire Cérébral-Tenue du dossier médical,89.0,89.0,178.0,
2011,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Dialyse rénale-Transplantation-Transplantation,100.0,100.0,200.0,%
2012,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Dialyse rénale-Transplantation-Transplantation,100.0,100.0,200.0,%
2013,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Dialyse rénale-Transplantation-Transplantation,100.0,100.0,200.0,%
2014,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Dialyse rénale-Transplantation-Transplantation,100.0,100.0,200.0,%
2015,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Dialyse rénale-Transplantation-Transplantation,100.0,100.0,200.0,%
2016,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Dialyse rénale-Transplantation-Transplantation,100.0,100.0,200.0,%
2011,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Prévention après l'accouchement,84.0,84.0,168.0,%
2012,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Prévention après l'accouchement,84.0,84.0,168.0,%
2013,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Prévention après l'accouchement,84.0,84.0,168.0,%
2014,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Prévention après l'accouchement,84.0,84.0,168.0,%
2015,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Prévention après l'accouchement,84.0,84.0,168.0,%
2016,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Prévention après l'accouchement,84.0,84.0,168.0,%
2011,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Prévention pendant l'accouchement,95.0,95.0,190.0,%
2012,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Prévention pendant l'accouchement,95.0,95.0,190.0,%
2013,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Prévention pendant l'accouchement,95.0,95.0,190.0,%
2014,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Prévention pendant l'accouchement,95.0,95.0,190.0,%
2015,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Prévention pendant l'accouchement,95.0,95.0,190.0,%
2016,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Prévention pendant l'accouchement,95.0,95.0,190.0,%
2011,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Traitement en cas d'hémorragie,68.0,68.0,136.0,%
2012,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Traitement en cas d'hémorragie,68.0,68.0,136.0,%
2013,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Traitement en cas d'hémorragie,68.0,68.0,136.0,%
2014,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Traitement en cas d'hémorragie,68.0,68.0,136.0,%
2015,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Traitement en cas d'hémorragie,68.0,68.0,136.0,%
2016,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Hémorragie du Post-Partum-Traitement en cas d'hémorragie,68.0,68.0,136.0,%
2011,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Infarctus du myocarde-Sensibilisation aux règles hygiéno-diététiques,95.0,95.0,190.0,%
2012,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Infarctus du myocarde-Sensibilisation aux règles hygiéno-diététiques,95.0,95.0,190.0,%
2013,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Infarctus du myocarde-Sensibilisation aux règles hygiéno-diététiques,96.0,96.0,192.0,%
2014,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Infarctus du myocarde-Sensibilisation aux règles hygiéno-diététiques,97.0,97.0,194.0,%
2015,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Infarctus du myocarde-Sensibilisation aux règles hygiéno-diététiques,98.0,98.0,196.0,%
2016,Indicateurs Pour l’Amélioration de la Qualité et de la Sécurité des Soins,Infarctus du myocarde-Sensibilisation aux règles hygiéno-diététiques,98.0,98.0,196.0,%
2011,Organisation de la sortie,Bon,14.58,14.58,29.17,%
2012,Organisation de la sortie,Bon,14.58,14.58,29.17,%
2013,Organisation de la sortie,Bon,14.58,14.58,29.17,%
2011,Organisation de la sortie,Excellent,17.08,17.08,34.17,%
2012,Organisation de la sortie,Excellent,17.08,17.08,34.17,%
2013,Organisation de la sortie,Excellent,17.08,17.08,34.17,%
2011,Organisation de la sortie,Mauvais,4.58,4.58,9.17,%
2012,Organisation de la sortie,Mauvais,4.58,4.58,9.17,%
2013,Organisation de la sortie,Mauvais,4.58,4.58,9.17,%
2011,Organisation de la sortie,Pas de réponse,0.42,0.42,0.83,%
2012,Organisation de la sortie,Pas de réponse,0.42,0.42,0.83,%
2013,Organisation de la sortie,Pas de réponse,0.42,0.42,0.83,%
