ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF_NORMAL,CFX_NORMAL,TOTAL_NORMAL,UNITE,MODE,PLF_CRISE,CFX_CRISE,TOTAL_CRISE,ECART_TOTAL,VARIATION_PCT
2011,Confort et propreté de la chambre,Bon,20.6,20.6,41.2,%,Normal,35.02,35.02,70.04,28.84,70.0
2012,Confort et propreté de la chambre,Bon,20.6,20.6,41.2,%,Normal,35.02,35.02,70.04,28.84,70.0
2013,Confort et propreté de la chambre,Bon,20.6,20.6,41.2,%,Normal,35.02,35.02,70.04,28.84,70.0
2011,Confort et propreté de la chambre,Excellent,8.75,8.75,17.5,%,Normal,14.88,14.88,29.76,12.26,70.06
2012,Confort et propreté de la chambre,Excellent,8.75,8.75,17.5,%,Normal,14.88,14.88,29.76,12.26,70.06
2013,Confort et propreté de la chambre,Excellent,8.75,8.75,17.5,%,Normal,14.88,14.88,29.76,12.26,70.06
2011,Confort et propreté de la chambre,Mauvais,4.38,4.38,8.75,%,Normal,7.45,7.45,14.9,6.15,70.29
2012,Confort et propreté de la chambre,Mauvais,4.38,4.38,8.75,%,Normal,7.45,7.45,14.9,6.15,70.29
2013,Confort et propreté de la chambre,Mauvais,4.38,4.38,8.75,%,Normal,7.45,7.45,14.9,6.15,70.29
2011,Confort et propreté de la chambre,Tres bon ,15.0,15.0,30.0,%,Normal,25.5,25.5,51.0,21.0,70.0
2012,Confort et propreté de la chambre,Tres bon ,15.0,15.0,30.0,%,Normal,25.5,25.5,51.0,21.0,70.0
2013,Confort et propreté de la chambre,Tres bon ,15.0,15.0,30.0,%,Normal,25.5,25.5,51.0,21.0,70.0
2011,Confort et propreté de la chambre,Très mauvais,1.25,1.25,2.5,%,Normal,2.12,2.12,4.24,1.74,69.6
2012,Confort et propreté de la chambre,Très mauvais,1.25,1.25,2.5,%,Normal,2.12,2.12,4.24,1.74,69.6
2013,Confort et propreté de la chambre,Très mauvais,1.25,1.25,2.5,%,Normal,2.12,2.12,4.24,1.74,69.6
